42591997|*Disease Resistance|D060467|1943|MH|RtM via: Disease Resistance;Forced Leaf Node Lookup:disease resistances|TI|MM|700^18^0
42591997|*Plant Breeding|D000069600|6216|MH|Forced Leaf Node Lookup:plant breeding;Replacement of Breeding Plants Found|TI|MM;RC|149^14^0
42591997|*Comb and Wattles|D003129|1172|MH|RtM via: Wattles;Forced Leaf Node Lookup:wattles|TI|MM|303^6^0;55^6^0
42591997|*African Americans|D001741|1148|MH|Forced Leaf Node Lookup:blacks|TI|MM|49^5^0
42591997|*Databases, Genetic|D030541|1584|MH|RtM via: Genetic Inheritance|TI|MM;RC|804^11^0
42591997|*Heredity|D040941|1209|MH|RtM via: Genetic Inheritance|TI|MM|804^11^0
42591997|*Health Services|D006296|795|MH|RtM via: Test Method|TI|MM|479^6^0
42591997|*Inheritance|D014918|720|ET|Entry Term Replacement for "Wills";RtM via: Inheritance|TI|MM|804^11^0
42595112|*Laboratories|D007753|326|MH|Forced Leaf Node Lookup:laboratory|TI|MM|53^10^0
42595112|*Fungi|D005658|4074|MH|RtM via: Fungi;Forced Non-Leaf Node Lookup:fungi|TI|MM;RC|616^6^0;154^6^0;315^5^0
42595112|*Biological Phenomena|D001686|741|MH|RtM via: Tissue Growth|TI|MM|391^5^0
42595112|*Biochemical Phenomena|D001669|213|MH|RtM via: Resistance Process|TI|MM|515^10^0;470^10^0;86^10^0
42594391|*Trees|D014197|19086|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM;RC|406^5^0
42594391|*Pinus|D028223|11421|MH|RtM via: Pinus contorta;checkForceMH Boosted;Forced Non-Leaf Node Lookup:pinus|TI|MM;RC|235^14^0
42594391|*Phosphate|D010710|2517|ET|Entry Term Replacement for "Phosphates";RtM via: Phosphates;RtM via: phosphate ion;checkForceMH Boosted;Forced Non-Leaf Node Lookup:phosphates|TI|MM|155^9^0
42594391|*Composting|D000076282|2328|MH|RtM via: Compost;Forced Leaf Node Lookup:compost|TI|MM|119^7^0
42594391|*Incidence|D015994|2280|MH|RtM via: Incidence;Forced Leaf Node Lookup:incidences|TI|MM|437^9^0
42594391|*Forest|D065928|16122|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|81^6^0
42594391|Ecosystem|D017753|396|MH|||RC
42594391|*Needle|D009339|249|ET|Entry Term Replacement for "Needles";RtM via: Needle device|TI|MM|456^6^0;225^6^0
42594391|*Research Design|D012107|84|MH|RtM via: Field experiments|TI|MM|52^17^0
42594950|*Lignin|D008031|18405|MH|RtM via: Lignin;Forced Leaf Node Lookup:lignins;checkForceMH Boosted|TI|MM;RC|1144^6^0
42594950|*Cellulose|D002482|11886|MH|RtM via: cellulose;checkForceMH Boosted;Forced Non-Leaf Node Lookup:cellulose|TI|MM;RC|1119^9^0
42594950|*Water|D014867|2799|MH|RtM via: water;checkForceMH Boosted;Forced Non-Leaf Node Lookup:water|TI|MM|1065^5^0
42594950|*Mechanical Tests|D000083522|2364|MH|RtM via: Mechanical Tests;Forced New Lookup:mechanical test|TI|MM|36^16^0
42594950|Lasiodiplodia theobromae|C000676991|1993|NM|Forced New Lookup:botryodiplodia theobromae|TI|MM|241^25^0
42594950|*Basidiomycota|D001487|6288|MH|RtM via: white rot fungus|TI|MM;RC|1176^16^0
42594950|*Steam|D013227|5481|MH|RtM via: Steam|TI|MM;RC|487^8^0
42594950|*Mitosporic Fungi|D003904|3825|MH|RtM via: Lasiodiplodia theobromae|TI|MM|241^25^0
42594950|*Fungus|D005658|2394|ET|Entry Term Replacement for "Fungi";RtM via: Fungi;Forced Non-Leaf Node Lookup:fungus|TI|MM|1014^6^0;519^6^0;270^6^0;1186^6^0
42594950|*Staining|D013194|225|ET|Entry Term Replacement for "Staining and Labeling";RtM via: Staining method;Forced Non-Leaf Node Lookup:stainings|TI|MM|301^8^0
42595545|*Wood|D014934|3645|MH|RtM via: Wood material;Forced Leaf Node Lookup:wood|TI|MM;RC|279^4^0;105^4^0;459^4^0
42595545|*Color|D003116|285|MH|Forced Leaf Node Lookup:colours|TI|MM|445^6^0
42595545|*Biological Phenomena|D001686|1191|MH|RtM via: Tissue Growth|TI|MM|42^6^0
42595545|*Physical Phenomena|D055585|465|MH|RtM via: Compression|TI|MM|267^11^0;93^11^0
42595545|*Excipients|D005079|300|MH|RtM via: Coloring Excipient|TI|MM|445^6^0
42593625|Animals|D000818|1000|CT|Forced Treecode Turn Back On: B05.500 (Life Cycle)||MM
42593625|*Mycorrhizae|D038821|29205|MH|RtM via: Mycorrhizae;Forced Leaf Node Lookup:mycorrhizas;checkForceMH Boosted|TI|MM;RC|2092^10^0;1749^11^0;755^10^0;634^11^0;815^11^0
