10.2307/1550586|*Freezing|D005615|3696|MH|RtM via: Freezing|TI|MM;RC|538^6^0
10.2307/1550586|Forests|D065928|1757|MH|||RC
10.2307/1550586|*Physical Phenomena|D055585|411|MH|RtM via: Flow|TI|MM|271^4^0
10.2307/1551601|*Peat|D012987|7242|ET|Entry Term Replacement for "Soil";RtM via: Peat;checkForceMH Boosted;Forced Non-Leaf Node Lookup:peat|TI|MM;RC|318^4^0
10.2307/1551601|*Lakes|D060106|6975|MH|RtM via: Lake (environment);Forced Leaf Node Lookup:lake|TI|MM;RC|1541^4^0;598^4^0
10.2307/1551601|*Temperature|D013696|4962|MH|RtM via: Temperature;Forced Leaf Node Lookup:temperatures|TI|MM;RC|1038^12^0
10.2307/1551601|*Salix|D032108|4251|MH|RtM via: Willow;Forced Leaf Node Lookup:willows;checkForceMH Boosted|TI|MM|294^6^0
10.2307/1551601|*Wetlands|D053833|3936|MH|RtM via: Bog;Forced Leaf Node Lookup:bogs|TI|MM|1137^4^0
10.2307/1551601|*Conifers|D064028|3453|ET|Entry Term Replacement for "Tracheophyta";RtM via: Tracheophyta;checkForceMH Boosted;Forced Non-Leaf Node Lookup:conifers|TI|MM|1514^7^0;542^10^0;361^7^0;229^10^0
10.2307/1551601|*Wood|D014934|3207|MH|RtM via: Wood material;Forced Leaf Node Lookup:wood|TI|MM|553^4^0;240^4^0;312^5^0
10.2307/1551601|*Deuterium|D003903|3156|MH|Forced Leaf Node Lookup:deuterium;checkForceMH Boosted|TI|MM|1443^9^0;1582^9^0
10.2307/1551601|*Cellulose|D002482|2016|MH|RtM via: cellulose;checkForceMH Boosted;Forced Non-Leaf Node Lookup:cellulose|TI|MM|1498^9^0
10.2307/1551601|Arizona|D001130|1779|MH|RtM via: Arizona;Forced Leaf Node Lookup:arizona|TI|MM|1742^7^0
10.2307/1551601|Colorado|D003120|1779|MH|RtM via: Colorado;Forced Leaf Node Lookup:colorado|TI|MM|193^8^0
10.2307/1551601|*Picea|D028222|7377|MH|RtM via: Picea|TI|MM;RC|823^6^0
10.2307/1551601|*Cycadopsida|D032462|1218|MH|RtM via: Division Coniferophyta (organism)|TI|MM|542^10^0;229^10^0
10.2307/1550045|*Soil|D012987|30475|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM;RC|1198^4^0;666^4^0;323^4^0;468^4^0
10.2307/1550045|*Trees|D014197|30410|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM;RC|402^5^0
10.2307/1550045|*Lichens|D008011|17249|MH|RtM via: Lichen - organism;Forced Leaf Node Lookup:lichens;checkForceMH Boosted|TI|MM;RC|1251^6^0;945^6^0;872^6^0;606^6^0;367^6^0;264^6^0;44^6^0;492^6^0
10.2307/1550045|*Water|D014867|11971|MH|RtM via: water;checkForceMH Boosted;Forced Non-Leaf Node Lookup:water|TI|MM;RC|1265^5^0;1106^5^0;1437^5^0
10.2307/1550045|*Bays|D061006|5743|MH|Forced Leaf Node Lookup:bay|TI|MM|190^3^0
10.2307/1550045|*Woodland|D065928|23169|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:woodlands|TI|MM;RC|374^8^0
10.2307/1550045|*Fire|D005390|22242|ET|Entry Term Replacement for "Fires";RtM via: Fire - disasters|TI|MM;RC|1365^4^0;100^4^0
10.2307/1550045|*Atmosphere|D001272|10983|MH|RtM via: Atmosphere, planetary;Forced Non-Leaf Node Lookup:atmospheres|TI|MM;RC|1426^10^0;1121^10^0
10.2307/1550045|*Seasons|D012621|7386|MH|RtM via: Summer|TI|MM;RC|219^6^0
10.2307/1550045|*Groundwater|D060587|2916|MH|RtM via: Groundwater;Forced Non-Leaf Node Lookup:ground waters|TI|MM|302^12^0
10.2307/1551969|*Ice Cover|D046448|6335|MH|RtM via: Glaciers;Forced Leaf Node Lookup:glaciers|TI|MM|261^8^0
10.2307/1551969|*Grassland|D065948|2298|MH|Forced Leaf Node Lookup:meadows|TI|MM;RC|243^7^0;836^7^0
10.2307/1551969|*Snow|D012914|15240|MH|RtM via: Snow (substance);RtM via: snow - weather|TI|MM;RC|881^5^0
10.2307/1551969|*Habitat|D017753|13308|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM;RC|914^7^0;660^7^0;589^7^0
10.2307/1551969|*Biological Phenomena|D001686|2622|MH|RtM via: Tissue Growth|TI|MM|721^4^0
10.2307/1551969|*Physiological Phenomena|D010829|2481|MH|RtM via: Reflecting|TI|MM|979^10^0
10.2307/1551115|*Half-Life|D006207|119|MH|Forced Leaf Node Lookup:half-lifes|TI|MM;RC|42^9^0;360^9^0
10.2307/1551115|Austria|D001317|48|MH|RtM via: Austria;Forced Leaf Node Lookup:austria|TI|MM|174^7^0
10.2307/1551115|*Computers|D003201|33|MH|RtM via: Processor Core|TI|MM|106^5^0
10.2307/1551115|*Virion|D014771|18|MH|RtM via: viral nucleocapsid location|TI|MM|106^5^0
10.2307/1551404|*Calluna|D029795|21547|MH|RtM via: Calluna vulgaris;Forced Leaf Node Lookup:callunas;checkForceMH Boosted|TI|MM;RC|292^7^0;37^16^0;28^7^0
10.2307/1551404|*Soil|D012987|9710|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM;RC|338^4^0
10.2307/1551404|*Altitude|D000531|6956|MH|RtM via: Altitude;Forced Leaf Node Lookup:altitudes|TI|MM;RC|282^8^0
10.2307/1551404|Scotland|D012606|1823|MH|Forced Leaf Node Lookup:scottish|TI|MM;RC|138^8^0
10.2307/1551404|*Environment|D004777|6258|MH|RtM via: Moorland|TI|MM;RC|147^8^0
10.2307/1551404|*Ericaceae|D029791|2139|MH|RtM via: Heather (plant)|TI|MM|292^7^0;28^7^0
10.2307/1551404|*Flowers|D035264|2007|MH|RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM;RC|190^7^0
10.2307/1551404|*Seeds|D012639|1608|MH|RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seeds|TI|MM;RC|300^5^0;211^4^0;381^5^0
10.2307/1551232|Animals|D000818|7360|CT|Hominidae;CT Treecode Lookup: B01.050.150.900.649.313.988.400.112.400 (Hominidae)||RC
10.2307/1551232|*Facies|D019066|1179|MH|RtM via: Facies;Forced Leaf Node Lookup:facies|TI|MM|496^6^0
10.2307/1551232|*Cave|D059552|6360|ET|Entry Term Replacement for "Caves";RtM via: Cavern|TI|MM;RC|289^4^0;149^4^0;40^4^0
10.2307/1551232|Hominidae|D015186|1550|MH|||RC
10.2307/1551232|*Face|D005145|1194|MH|RtM via: Face|TI|MM|496^6^0
10.2307/1551232|Herpes Zoster|D006562|1000|MH|Forced Non-Leaf Node Lookup:shingles||MM|631^7^0
10.2307/1550181|*Wind|D014919|7983|MH|RtM via: Environmental Wind;Forced Leaf Node Lookup:wind|TI|MM;RC|414^4^0
10.2307/1550181|*Temperature|D013696|3909|MH|RtM via: Temperature;Forced Leaf Node Lookup:temperatures|TI|MM;RC|376^11^0
10.2307/1550181|*Ice|D007053|1733|MH|Forced Leaf Node Lookup:ice;checkForceMH Boosted|TI|MM;RC|269^3^0;468^3^0;754^3^0
10.2307/1550181|*Bays|D061006|708|MH|Forced Leaf Node Lookup:bay|TI|MM|92^3^0
10.2307/1550181|*Snow|D012914|708|MH|Forced Leaf Node Lookup:snowfall|TI|MM|530^8^0
10.2307/1550181|*Seasons|D012621|2634|MH|RtM via: Autumn|TI|MM;RC|404^4^0;103^4^0
10.2307/1550181|Water Movements|D014872|614|MH|||RC
10.2307/1550181|*Biochemical Phenomena|D001669|252|MH|RtM via: Resistance Process|TI|MM|739^9^0
10.2307/1550832|Humans|D006801|7193584|CT|Forced Humans: individuals|TI|MM;RC
10.2307/1550832|*Pinus sylvestris|D041605|586808|MH|RtM via: Pinus sylvestris (plant);Forced Leaf Node Lookup:pinus sylvestris;checkForceMH Boosted|TI|MM;RC|122^16^0
10.2307/1550832|*Trees|D014197|585686|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:tree;checkForceMH Boosted|TI|MM;RC|1387^4^0;1074^4^0;991^4^0;101^4^0
