43441235|*Dermabrasion|D003869|1152|MH|RtM via: Superficial abrasion|TI|MM|1517^7^0;1373^7^0
43441235|*Burns|D002056|624|MH|RtM via: Burn injury|TI|MM|907^6^0;808^6^0
43443296|Humans|D006801|5227174|CT|Forced Humans: people|TI|MM;RC
43443296|Animals|D000818|5227174|CT|Animals, Wild;CT Treecode Lookup: B01.050.050 (Animals, Wild)||MM;RC
43443296|*Seedlings|D036226|643293|MH|RtM via: Seedlings;Forced Leaf Node Lookup:seedlings;checkForceMH Boosted|TI|MM|1197^8^0;1239^9^0;1083^9^0
43443296|*Tamarindus|D029861|431237|MH|RtM via: Tamarindus indica;Forced Leaf Node Lookup:tamarindus indicas;checkForceMH Boosted|TI|MM;RC|858^17^0
43443296|*Albizzia|D031289|430427|MH|RtM via: Albizia amara;RtM via: Albizia odoratissima;Forced Leaf Node Lookup:albizias;checkForceMH Boosted|TI|MM|772^13^0;798^20^0
43443296|*Pterocarpus|D035721|429755|MH|RtM via: Pterocarpus marsupium;Forced Leaf Node Lookup:pterocarpus;checkForceMH Boosted|TI|MM|828^21^0
43443296|*Animals, Wild|D000835|429356|MH|RtM via: Animals, Wild;Forced Leaf Node Lookup:wildlife;checkForceMH Boosted|TI|MM|304^8^0;57^8^0
43443296|*Terminalia|D029766|428777|MH|RtM via: Terminalia arjuna;Forced Leaf Node Lookup:terminalia arjuna;checkForceMH Boosted|TI|MM|895^17^0
43443296|*Ecosystem|D017753|224041|MH|RtM via: Ecosystem;Forced Lookup:ecosystem|TI|MM;RC|1418^9^0
43443296|*Farmers|D000067565|215140|MH|RtM via: Farmers;Forced Leaf Node Lookup:farmers|TI|MM|497^7^0
43443296|*Ethnobotany|D019448|29415|MH|RtM via: Ethnobotany|TI|MM;RC|1388^14^0
43443296|*Forest|D065928|13734|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|951^6^0;39^6^0;1490^6^0
43443296|*Population Groups|D044382|2517|MH|RtM via: Indigenous Population (Natives)|TI|MM;RC|1064^17^0;713^17^0;467^17^0;121^17^0
43443296|*Knowledge|D019359|2172|MH|RtM via: Knowledge|TI|MM;RC|1538^9^0;636^9^0
43443296|*People, Indigenous|D000081034|1068|ET|Entry Term Replacement for "Indigenous Peoples";RtM via: Indigenous Peoples;Forced Non-Leaf Node Lookup:indigenous peoples|TI|MM|467^17^0
43443296|*Lifestyle|D008019|189|ET|Entry Term Replacement for "Life Style";RtM via: Life Style;Forced Non-Leaf Node Lookup:lifestyles|TI|MM|650^9^0
43443296|India|D007194|318|MH|RtM via: India|TI|MM|100^5^0
43443294|Animals|D000818|2491|CT|Chironomidae;CT Treecode Lookup: B01.050.500.131 (Chironomidae)|TI|MM
43443294|*Chironomidae|D002683|846|MH|Forced Leaf Node Lookup:chironomids;checkForceMH Boosted|TI|MM|1312^11^0
43443294|*Benchmarking|D019985|633|MH|RtM via: Benchmarks;Forced Leaf Node Lookup:metrics|TI|MM|1009^7^0
43443294|Texas|D013781|426|MH|RtM via: Texas;Forced Leaf Node Lookup:texas|TI|MM|403^5^0
