10.2307/3687281|*Hot Temperature|D006358|1844|MH|RtM via: Heat (physical force);Forced Leaf Node Lookup:heat|TI|MM|1047^4^0
10.2307/3687281|*Laboratories|D007753|1310|MH|RtM via: Laboratory;Forced Leaf Node Lookup:laboratory|TI|MM|863^10^0;592^10^0
10.2307/3687281|*Plant|D010944|1164|ET|Entry Term Replacement for "Plants";RtM via: Plants|TI|MM;RC|327^5^0
10.2307/3687281|*Physical Phenomena|D055585|1110|MH|RtM via: Flow|TI|MM|1052^4^0
10.2307/3687281|*Plant Structures|D018514|882|MH|RtM via: Grains|TI|MM|308^6^0;83^6^0
10.2307/3687281|*Durable Medical Equipment|D004389|726|MH|RtM via: Physical restraint equipment (device)|TI|MM|462^10^0
10.2307/3687281|*Burial|D002048|393|MH|RtM via: Burial;Forced Non-Leaf Node Lookup:burials|TI|MM|1284^6^0;1437^6^0
10.2307/3687281|*Bombs|D054042|24|MH|RtM via: Bomb device;Forced Non-Leaf Node Lookup:bombs|TI|MM|1188^4^0;874^5^0;603^5^0
10.2307/3687224|*Islands|D062312|1729|MH|RtM via: Islands;Forced Leaf Node Lookup:islands|TI|MM|269^7^0
10.2307/3687224|*Dinoflagellates|D004141|1480|ET|Entry Term Replacement for "Dinoflagellida";RtM via: Dinophyceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:dinoflagellates|TI|MM;RC|445^14^0;305^15^0;43^14^0
10.2307/3687224|Europe|D005060|747|MH|RtM via: Europe;Forced Non-Leaf Node Lookup:europe|TI|MM|419^6^0
10.2307/3687224|Paleontology|D010163|662|MH|||RC
10.2307/3687224|Canada|D002170|108|MH|RtM via: Canada;Forced Non-Leaf Node Lookup:canada|TI|MM;RC|139^6^0
10.2307/3687242|*Peat|D012987|4289|ET|Entry Term Replacement for "Soil";RtM via: Peat;checkForceMH Boosted;Forced Non-Leaf Node Lookup:peat|TI|MM;RC|516^4^0;404^4^0;288^4^0;57^4^0
10.2307/3687242|*Lignite|D003031|2240|ET|Entry Term Replacement for "Coal";RtM via: Lignite;checkForceMH Boosted;Forced Non-Leaf Node Lookup:lignites|TI|MM;RC|246^7^0;131^7^0
10.2307/3687242|North Dakota|D009658|542|MH|RtM via: North Dakota (geographic location);Forced Leaf Node Lookup:north dakota|TI|MM|233^12^0;181^12^0
10.2307/3687242|sapropel|C050488|2386|NM|RtM via: sapropel|TI|MM|45^10^0
10.2307/3687242|*Humic Substances|D006812|2385|HM|RtM via: sapropel|TI|MM|45^10^0
10.2307/3687242|*Spores|D013170|2139|MH|RtM via: Plant spore;RtM via: Reproduction spores;Forced Non-Leaf Node Lookup:spores|TI|MM|546^6^0
10.2307/3687242|*Mineral|D008903|738|ET|Entry Term Replacement for "Minerals";RtM via: Minerals;Forced Non-Leaf Node Lookup:minerals|TI|MM|368^7^0;443^7^0
10.2307/3687242|*Benzopyrans|D001578|480|HM|RtM via: sapropel|TI|MM|45^10^0
10.2307/3687242|*Pollen|D011058|342|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen|TI|MM|535^6^0
10.2307/3687276|*Sphagnopsida|D044003|1774|MH|RtM via: Sphagnum;Forced Leaf Node Lookup:sphagnums;checkForceMH Boosted|TI|MM|959^8^0
