CnE8YNEAAAAJ;Witness  Mojeremane;25652621
fiewoREAAAAJ;Gilles  Billen;1469737,41410560,24716794,24715146,4313316,20519788,1468680,41149673,25470361,41479984,24816977
JpXl-gcAAAAJ;Marcos  Rodrigues;10.2307/2389245,4535411,10.2307/2388679,40983710
WKrMQKoAAAAJ;Tamara  Ticktin;3061216,4256551,4256524,20143949,41432993,23353256
eqUBFf0AAAAJ;Mira  Käkönen;25547884,41510587
41x6n3cAAAAJ;Diane  Ragone;2657070,4123760,2446437,4256429,4257141
RyaLMF0AAAAJ;Alito Siqueira;4315255
H45SzaEAAAAJ;S. Sreekesh;4315255
z_yrA6wAAAAJ;Eeva-Stiina  Tuittila;23726932,23726964,27860800,23012729,41500652,42952604,41500022,40305716
d8pkENYAAAAJ;Ilkka  Vanha-Majamaa;23726932,23726561
8JFkVcEAAAAJ;Harri  Vasander;23726932,23726656,23726964,4314450,10.2307/3868163,40296380,20144159,10.2307/2404818,42949469,42951977,24120912
2cfco8IAAAAJ;Jennifer L. Tank;24715155,41410588,20055292,40343521,10.2307/3868137,10.2307/176719,23501485,25741360,27645954,40061950,10.1086/680037,10.1899/11-095.1,40062106,3658776,41505895,10.1086/677767,27650838,10.2307/1468054,40792629,10.2307/1467621,40792525,4499034,10.2307/1467620,1468297,20491185,40792490,4095537,1468410,40005603,25256112
V5ah5KoAAAAJ;Jackson R. Webster;10.1899/11-060.1,10.2307/1940562,3451037,10.2307/1942645,20069343,10.2307/1942572,10.2307/1467120,10.2307/3868635,09-152,10.2307/1467303,1468084,4095680,10.2307/1467709,4499026,1468410,4216671,40005603,10.2307/3544326
xCgmrIsAAAAJ;Blanca  Bernal;24715187
JxbjgBkAAAAJ;William J. Mitsch;24715187,24319515,3868820,40062230,10.2307/1941991,10.2307/1936959,10.2307/2402335
4Pcj_EIAAAAJ;Georg  Guggenberger;4151464,1469897,41151233,20062171
KMPmJPMAAAAJ;Xingliang  Xu;42952501,24128402,42951809,24146488,24125382,24129836,42952639
Gr2ixlAAAAAJ;Antonio Delgado Huertas;4315744
jBE72DQAAAAJ;Martin  Reichard;25063412,40295526,25483590,40664010,25483591
5wRE1o8AAAAJ;Guillermo  Angeles;3218542,20621995,4255991,23389427
zXR74DkAAAAJ;William L. Romey;4601126,20640558
fxRZAVEAAAAJ;Oddmund  Kleven;27823556,25063718,25063778,23360213,43599332,40863213,4601708,40295207,41414631,40306319,30142921,23463803,30244431,3677606,23017129,3677678,30244791,24872982
8dIJBkYAAAAJ;Richard  Condit;30044949,4600317,30043167,10.2307/3099927,3450511,4256423,4256322,10.2307/1940724,10.2307/2963497,10.2307/1941725,41739620,10.2307/2409413,23012388,27751619,2648337,3599599,4096758,3237007,4092035,25172891,3505867,3599587,3599759,20143507,10.2307/2261477,4496002,2560095,43582459,10.2307/1381167,3236284,30137905,3236572,40235216,41508819
3RIi6R0AAAAJ;Stan  Boutin;10.2307/1551438,4600468,10.2307/1551550,41510619,10.2307/1939395,20113330,41480001,27860844,41417098,3683301,10.2307/176736,10.2307/177210,3061668,3448768,3884662,20143189,23259936,3505990,23488469,4094259,10.2307/4917,10.2307/5367,10.2307/1382652,10.2307/5879,27696369,24575397,1383535,4123836,20870020,40405901,30224531,10.2307/3545676,24034383,10.2307/3545680,4217334,10.2307/3546526,4218032,10.2307/3546470,40235526,4219820
tnyhu8YAAAAJ;John G. Swallow;41414636,41414029,25799795,40295471,10.2307/1565516,4485815,30157992,30166352
AxXLiDUAAAAJ;Martin  Haase;41766890,3227246,3227176
b6u01x0AAAAJ;Brenda McCowan;4535706
1WnKYg0AAAAJ;Don C. Bragg;27650511,10.2307/177215,41819477
QEL8DQoAAAAJ;Santiago  Beguería;4315382,3674635
xuEekQIAAAAJ;Manuel Seeger;4315382
bQT_NcgAAAAJ;Mary Lea Killian;23526441,41418373,23274077
-pYWnwYAAAAJ;R.  Harsh;10.2307/1547467
0mFm35sAAAAJ;Hubert  de Foresta;27654207
ak0sXbYAAAAJ;Hiroshi  Kudoh;43578656,2657057,43576472,2446054,4122807,27733280,43578596,3068821,3599542,2648316,4221014,40926690,4222135,40305790
u2Rsn8IAAAAJ;Jay F. Storz;2389155,3061664,3061528,40863327,3449229,3448838,4126845,3068836,4126847,10.2307/1383301,10.2307/3504423,10.2307/3504333
QudX5ywAAAAJ;Masoomeh  Ghobad-Nejhad;23727743,27920452
GM-cx8gAAAAJ;Eduardo  Narbona;27793183,23727798,43576643,23727927
rEbTarEAAAAJ;Emile  van Lieshout;40295593,41414007,23360161,24033836
hNcQoo0AAAAJ;Ellen  van Wilgenburg;40295593,41414056,41414742
