CnE8YNEAAAAJ;Witness  Mojeremane;25652621
L1TAZTQAAAAJ;Jacob  Nabe-Nielsen;2655724,4091896,20051296
UGCP_QYAAAAJ;Neil S. Cobb;2445775,10.2307/2409704,3449958,10.2307/1939582,25053803,41505924,4223142,4221536,4220382,4221475
hAPepaEAAAAJ;Oliver  Bossdorf;25766887,4122700,4123674,20172021,23435941,20062297,20146642,27759762
SW-msBoAAAAJ;Robert K. Robbins;10.2307/2387810,10.2307/3545502
suQrrRIAAAAJ;Mats  Dynesius;3069278,4543384,4124757,25053840,30243139,25592591,4096640,10.2307/2845689,10.2307/2261296
N2q7D6kAAAAJ;Charles D. Laird;3883264
6l1_4H0AAAAJ;Harry W. Dickerson;10.2307/1591250
oo-9qpIAAAAJ;Francois  Guillemot;3883588
J-QrRcYAAAAJ;Delphine  Grancher;24551629
0lrfQF8AAAAJ;Daniel  Brunstein;24551629,10.2307/3546518
XD-jEE8AAAAJ;Nicolas  Eckert;24551629
lDVcx9YAAAAJ;Tõnu  Oja;23727833
0e3-ox8AAAAJ;Grischa  Brokamp;41408837
hknU4RIAAAAJ;Michael J. Durako;3099912,24846206,24830274
wYDYIYkAAAAJ;Katrine  Turgeon;40295540,20788166
JF6OQ_0AAAAJ;Michael  Wagner;25256140
UQhjq5QAAAAJ;Charles R. Marshall;2097316,27743474,20627697,4096915,4096919,2400927,20445610,2401229,1571664,2401050
2DRKSuQAAAAJ;Michael  Zimmermann;41410570,41151203,25622898
OAiFHH8AAAAJ;Michael I. Bird;41410570
tG9tnFgAAAAJ;Patrick  Meir;41410570,41151203,40603106,25622898,3554902,20870131,23434829,24369084,24129832,41413431,42952885,40212967
3MYIo7wAAAAJ;Helga  Van Miegroet;1468648
zRsyCmAAAAAJ;Russell  Bonduriansky;20744034,3448878,24032780,3449003,3448823,25592671,41240811,27743409,3449125,4621337,2647213
loJBgmQAAAAJ;Troy  Day;20744034,41317087,41503463,2640566,10.2307/2410260,24032824,10.2307/2411173,25483636,2640507,3448823,2680249,41317046,3448750,4221429
MQXHFiIAAAAJ;Alison E. Anastasio;bullecosociamer.95.2.177
wUMfWtcAAAAJ;Leonardo  Susta;23526452
kStqqtEAAAAJ;Jeffrey M. Black;4534618,2386516,41722890,10.2307/4851,10.2307/5758,20628126,20628139,20628143,10.2307/3676546,10.2307/3676676
uLc1n3sAAAAJ;Daniele  Bocchiola;40305836
7DOxAygAAAAJ;Renzo  Rosso;40305836
tZ_pBaMAAAAJ;Stephen  McLoughlin;2474948,2474926,10.1086/678087
5vGVBokAAAAJ;Colin B. Fuss;41490465
NKIFePUAAAAJ;William S. Currie;1469294,20456518,41507790,3658898,3658594,3658887,40062114,10.2307/2266106
Ib4diV4AAAAJ;Tim  Sparks;20694883,23735858,4496073,40005759
0sHsz9YAAAAJ;Tom  Cooney;20694883
yu5zZQ0AAAAJ;Stephen B. Cox;10.2307/2389089,20146966,3547627
GivDlqMAAAAJ;Carlo  Ricotta;1479075,1478994,24571979,43461184,41245508,41416764,40390749,3246867,3696891,25680450,40800787,27754318,25173190,4499188,4096749,20146761,20146383
3RzIuNIAAAAJ;Maria Laura Carranza;1479075,1478994,1479002,41508749
bxbOvMgAAAAJ;Adrian C. Stier;bullecosociamer.91.3.347,25680445,23047554,25592821,20788109,23435948,43494799,23260141,40606650
HJeKp5AAAAAJ;Scott L. Hamilton;bullecosociamer.91.3.347,25680445,23597280,24868664,24873436,24869917,24874488,40309763
RVLVB7wAAAAJ;Robert E. Shadwick;4620200,3892927,30158155,24872067
i8QcNvUAAAAJ;Olaf  Dellwig;40343599,23486526
LIziXvwAAAAJ;Jan M. Holstein;40343599
P3MBRGQAAAAJ;Rupam  Kapoor;43576414,25256247
yD14tywAAAAJ;Niels Tvis Knudsen;10.2307/1552263
tCH3DV4AAAAJ;W. Alice Boyle;20143295,27751623,40213174
StQqwOkAAAAJ;Lester J. McKee;1469351
iMcseBQAAAAJ;Tobias Lindborg;4315772,4315768,4315764
HQTxWuwAAAAJ;Juan  Lorite;23728273,27975371,40929074
F39_zGsAAAAJ;Guy  Charmantier;3884553,10.2307/1549227,10.2307/1548843,10.2307/1549455
L277GEcAAAAJ;Andreas  Lindén;23736741,23035094,23434624,40235373,23434669
eaFBy3YAAAAJ;Stein R. Moe;23735809,4315497,43677500,23501484,2560129,40603003,27695938,3068702,4092084,4092128,24553690,24033451,40305679,41500617
LOuDMAIAAAAJ;Trygve  Almøy;23735809
ely2gskAAAAJ;X.  Ben Wu;1478932,10.2307/4003864,10.2307/4003591,10.2307/4003168
133WpF8AAAAJ;Magnus  Nordborg;4281144,4629860,4629915
HUvwHP8AAAAJ;Joy  Bergelson;10.2307/2266126,29782966,2640571,10.2307/2266124,4095373,10.2307/1939399,4627056,10.2307/1940470,10.2307/2266093,10.2307/1938097,10.2307/2411332,10.2307/2265837,10.2307/2260944,4281342,20051297,3548562,4222628,4220441,4222592,4281450,4219996,40210652
zO4hfH0AAAAJ;Marta Borowiec;4536486,4536326
bPnKov8AAAAJ;Konrad  Halupka;4536486,4536326,4536143,10.2307/3677190,25662904
SmX8hJ4AAAAJ;Mohamed  Goher;23526692
zyHaSVIAAAAJ;Mohamed  Goher;23526692
zewPZSgAAAAJ;Ryan A. Sponseller;4151463,3450235,23501434,25470343,23597374,23021616,27651647
m0S2PYQAAAAJ;Aant  Elzinga;4314553,4313528
Cn29TvwAAAAJ;Martin  Kopecký;40927821
zl2xubAAAAAJ;Thorsten  Krömer;4496886,20870169,3566350,4091820,40212876
n4IJ4HkAAAAJ;Song  Yang;40962401
Q3X2Wk4AAAAJ;Lisa E. Pearson;24706442
mexK9MwAAAAJ;Paul G. McDonald;30243912,30244782,3505278
4IETlnEAAAAJ;Fabien  Anthelme;41408835,1552328,20143437,40305534
OVOrQ4EAAAAJ; Jean O. Lacoursière ;4314234
tr2ZCFAAAAAJ;M. Julian Caley;4601533,10.2307/176804,10.2307/2265979,4095296,3449281,2680291,10.2307/2680163,20788147,10.2307/4917,40602957,10.2307/5777,24853313,24865194,24857823,24855569,24855570
5PV1auMAAAAJ;Nadja  Stadlinger;24708863
7IkPBRIAAAAJ;Oliver P. Höner;4602149,3548799
jeB3JeUAAAAJ;Josef  Wanzenböck;23736189
PnWGINIAAAAJ;Michael J. Blum;27793062,23273223,25140785,3094642,3061657,43494471,4640672,41413437
bpMWH24AAAAJ;W. Ronald Heyer;10.2307/2387754,10.2307/2989753,10.2307/2388238,3882670,10.2307/1441563,10.2307/2406697,10.2307/1444664,10.2307/1446226,10.2307/1935353,10.2307/1935156,10.2307/1564964,10.2307/1564574,10.2307/1563148,10.2307/1562868,3891206,3890987,3891727,3891258
7bOtzlcAAAAJ;Michael J. Holmes;41510622
zXKebRAAAAAJ;William H. Romme;40062034,25470332,41505935,23047063,3658601,23213744,10.2307/2641230,3449966,10.2307/1941982,3658753,24432260,23597283,3450961,41505943,10.2307/1936706,10.2307/1941951,10.2307/3868187,10.2307/1941684,10.2307/1942611,25053802,2385909,3450595,10.2307/2963464,3659072,3235886
0QM7zIUAAAAJ;Donald C. Dearborn;23360217,25063459,4601516,25063631
MNMAZYAAAAAJ;John J. Magnuson;3883884,3882440,20168305,10.2307/1941844,3658763,10.2307/1442834,10.2307/2641369,10.2307/177379,10.2307/1937251,10.2307/176528,10.2307/1936188,10.2307/1441976,10.2307/1442367,10.2307/1933183,10.2307/1441577,10.2307/1440732,10.2307/1547950
BdgbLmIAAAAJ;Jasper  Griffioen;20456560
8DyVAVYAAAAJ;Jean-Louis  Tison;10.2307/1551299
M40KvOYAAAAJ;Alejandro  Flores-Palacios;40925437,40925438,4091917,27751626,3554889,41508796,20146641,40305550
ONch7IQAAAAJ;Raúl  Ortiz-Pulido;30043208,3683830,27639301,40212856,40305550
9hbq6yEAAAAJ;José A. Alves;bullecosociamer.94.1.95
y8aJ57oAAAAJ;Dhruba Naug;4601416
u-OsIa4AAAAJ;Raghavendra  Gadagkar;4601416,4536088,4601243,4222163,10.2307/3545789
ZyvcVIcAAAAJ;Christian  Damgaard;41417340,41510596,10.2307/177185,10.2307/176794,10.2307/2410880,40407725,29783279,3072268,40929063,27754343,24125613,3548205,40305671
0njFnCkAAAAJ;Esa  Huhta;4600875,4601281,3589126,3683093,10.2307/3677099,30245328,10.2307/3677210,4222129
-vJ6qgkAAAAJ;Douglas W. Tallamy;4599505,3589055,29738707,10.2307/1938019,29738829,10.2307/1936756
rXtvzawAAAAJ;Raymond D. Semlitsch;4600908,25063783,bullecosociamer.93.3.236,4600960,10.2307/1445944,23596836,25592663,10.2307/1943173,10.2307/1937586,10.2307/2409167,10.2307/2680195,10.2307/1938370,10.2307/1444113,10.2307/1939164,10.2307/1937230,3588947,10.2307/3061155,10.2307/2410223,2641661,10.2307/1939297,1448490,23273266,10.2307/1443709,25140787,10.2307/1447219,1448192,10.2307/1446089,10.2307/1445721,10.2307/1447747,2641801,2387586,1448338,10.2307/1444590,10.2307/1444794,4493603,1448092,10.2307/2409339,10.2307/1445868,3683075,10.2307/1445724,40061994,41722882,10.2307/1444324,3107894,10.2307/1444376,3061641,10.2307/1444862,2640641,4124653,10.2307/1446988,10.2307/1445817,10.2307/1446447,10.2307/1446038,23501502,20183356,10.2307/5327,10.2307/1563705,3891477,40060460,10.2307/1564997,41415266,10.2307/1565966,25209123,10.2307/5364,3891846,10.2307/1564746,10.2307/3981,10.2307/1565416,3892475,3891794,10.2307/1565354,3892298,4223804,10.2307/3545205,40213172,40213035,41686360,4219110,4223750,4217534,4222524,4222077,4218577,10.2307/3545093,4218775
qsi0RQsAAAAJ;Danilo  Godone;40962397
IOd6RjsAAAAJ;William A. Hoffmann;41739263,3599243,43494348,10.2307/177080,3599561,41059551,4092132,3068660,10.2307/2261200,24130703,40213177,23267387,42952525,40606587,40005661,40540329,20062418
vN8_nOgAAAAJ; María Ángeles Ortiz ;4125550
T1boluQAAAAJ;Karin  Tremetsberger;4122806,4122766,40305902,43558245,23659854
RidiPLIAAAAJ;Bruno J. Ens;bullecosociamer.91.2.212,4535718,4534642,27784049,10.2307/3677014,10.2307/5625,40835690,10.2307/6000,27695930
OrKqLoAAAAAJ;Marcel  Klaassen;bullecosociamer.91.2.212,25592698,10.2307/2679808,10.2307/3677168,20143504,10.2307/3677140,20143306,3506059,3677674,20144113,3677533,27695930,3677605,40234904,4221129,40235697,30158540,23259754,3548699,30164291,40213278
qb1RrNkAAAAJ;Horst  Aspöck;41781730,41769283
v5SuOlsAAAAJ;Christian  Abizaid;25515825
zSgHweQAAAAJ;Ólafur  Ingólfsson;10.2307/1552224,1552369,10.2307/1551679,2656123
skDzG6YAAAAJ;Hreggvidur  Norddahl;10.2307/1552224
xoZAnZMAAAAJ;Yousuf  Siddiqui;10.2307/1588606
VOYNGXsAAAAJ;Ishi  Buffam;1469425,1469580,41505919
yIFlqAIAAAAJ;Joseph  Vallino;1469425,40061816
pMtTbDwAAAAJ;Junpeng  Mu;40801692,41240441,43495230
O086HIwAAAAJ;Valeria  Souza;bullecosociamer.90.4.428,40343598,10.2307/2265706,3697401,41692852,23643171
9CxnRG4AAAAJ;Fabricio  Villalobos;bullecosociamer.90.4.428
y1Kix00AAAAJ;Matthieu  Falque;24030682,41435701
14mTQHEAAAAJ;Delphine  Sicard;24033924
WKHoo3UAAAAJ;Anne Marijke Schel;41414746,40599640
XrTMUdgAAAAJ;Chad S. Lane;3687800
viJLTboAAAAJ;Takashi  Kuriwada;41414606
TUoa1WwAAAAJ;Kristen D. Emmett;41414059
Oo43rFoAAAAJ;Jeanne M. Serb;10.2307/1565605,3701492
OxTpBdMAAAAJ;M. Christopher Barnhart;20491152,10.2307/1467786,20491157,09-128R,10.2307/1467437,30158619,30152609,23377468,30158618,23376216
oiJ7YNsAAAAJ;Bogusław  Pawłowski;4535532
8KzZSz8AAAAJ;Paul W. Barnes;10.2307/1550996,41413045,4216597,4221213,20051246
nzsKb3IAAAAJ;Sandra  Quijas;41241916
-K4wV5QAAAAJ;Donald  Scavia;20519818,20519826
545DCH0AAAAJ;Alan  Townsend;20519818
-chjN0MAAAAJ;Robert M. Pringle;bullecosociamer.89.1.20,27651504,3450111,4098662,23596942,25592827,23436296,20069275,1448751,4124642,43494969
ZjjkjfEAAAAJ;Cengiz  Yalcin;40601093
Y3wX7oUAAAAJ;Olivier  Raspé;41427187,20794503,2474977
SXk5TdAAAAAJ;Eldor A. Paul;25652598,27650775,10.2307/2269414,10.2307/1938091,42950776,4223057,24121186,42947905
G1umN28AAAAJ;Giovanni Maria Marchetti;4601580
CgVbQg0AAAAJ;Enriquena  Bustamante;25766876
-A61RW8AAAAJ;Snežana  Vukojičić;23726814,23664160
ZEE3C6IAAAAJ;Luis A. Coloma;30043170,3061476,3892871,3893611,3892847,3892957,1565838,3893629,25209130,3893549,3893408,3893198,10.2307/1564862
dXNrKC0AAAAJ;Hubert  Kurzweil;10.2307/4114483
HeoyndMAAAAJ;Katja  Fennel;40647934
oNZUQS8AAAAJ;Damian  Brady;40647934
AppFY_IAAAAJ;Anne  Giblin;40647934,24867000
jQcP0qIAAAAJ;Craig  Tobias;40647934,24867000,24872646
00cedhQAAAAJ;Steven J. Presley;30043297,41241924,4539220,40602940,4499114,1383613,1383687,25172898,30224458,41500641,3504372,40310079
LJYk2ksAAAAJ;M. Mónica Díaz;30043297,1383546
v3mjoxcAAAAJ;Víctor  Pacheco;30043297,1383547
gKRcI7oAAAAJ;Scott  Weaver;30043297
lImD2wwAAAAJ;Craig C. Young;10.2307/2996302,24320959
WO3xfIIAAAAJ;Valentin Amrhein;4536288,4125106
5tWyUsYAAAAJ;Tancredi Caruso;4315832
iOpOk50AAAAJ;Silvano Focardi;4315832
_hboceoAAAAJ;Priscila  Chaverri;24032819,43923701,10.2307/3761672,27811051,10.2307/3762066,10.2307/3761831,3762364,20445007,10.2307/3761915,23489526,27920471,3762261,3762351
YucHqSsAAAAJ;Robert  Boyd;41414038,24707031,4602658
5sKZzs8AAAAJ;Joseph  Henrich;41414038,4603241
-G6za2EAAAAJ;Antonio  González-Rodríguez;43576491,10.1086/679904,23012377
_EdXkq4AAAAJ;Ryan R. Germain;41414752,43494356
NbFDyzcAAAAJ;Peter P. Marra;41414752,20787453,3451027,23023121,27797816,3879135,10.2307/2266072,27806872,25595193,20788113,25595170,10.2307/5721,30243883,23355829,40863355,4222085,10.2307/40166836,25256173,23434801,20062165,10.2307/40157547,40210672,40605887
-mrhg2oAAAAJ;Eero  Asmala;40730866
N4O9pwMAAAAJ;Laura  Saikku;40730866
eAMtR5MAAAAJ;Harald  Bugmann;30243116,41723002,4493589,25470342,3236275,20143452,3236279,4499258,41318863,40305538,20146591,4540682,40310037,20146785
2b_MwX4AAAAJ;Rolf  Siegwolf;40296374,24125192,4217733
mko42a0AAAAJ;Leonard  Nunney;23736524,3448731,2386732,3449173,10.2307/1937598,10.2307/2410351,30142912,10.2307/2411022,10.2307/2411205,10.2307/2410151,10.2307/2409205,10.2307/2640915
10aNl7cAAAAJ;Michael A. Huston;20168451,3246876,40385214,10.2307/2265937,3683674,3658705,41739371,10.2307/1941786,43494470,4221630,23434363,10.2307/3546645,3547701,3547243
3jn3H_oAAAAJ;Eric  Garnier;20168451,43576394,27651025,27651303,43495201,3450259,3237076,20143472,23695418,3548237,40235131,24124122,24124094
lkJ18CcAAAAJ;Eduardo  Carrillo;2641510,27751630
BBT4pdwAAAAJ;Jens  Rolff;4601547,3449087
kYToqLcAAAAJ;Mario  Pino;20519854,4298008
dYeZp8QAAAAJ;Antonio  Lara;20519854,40343551,30137898,3235807
QPeYICIAAAAJ;Alan  Hastings;2097171,23735886,2097309,3099995,3099998,10.2307/3100085,10.2307/1940296,10.2307/2409544,10.2307/1940066,3099997,10.2307/2265772,10.2307/1941143,20183476,25741362,3450506,2386320,10.2307/3868467,29779528,2385875,43187597,10.2307/2408493,10.2307/2408668,10.2307/2409279,2647384,2647302,20144039,3505355,10.2307/5292,10.2307/5736
_sZsSvcAAAAJ;Stephen  Ellner;2097171,10.2307/2410344,10.2307/1942638,10.2307/1938299,10.2307/2411145,10.2307/1940835,10.2307/1940064
rQ0w89cAAAAJ;John P. Huelsenbeck;2952500,2640843,10.2307/2410879,3448847,2401230,2401051
nccuYroAAAAJ;Keith A. Crandall;2952500,3448882,2387356,10.2307/2640925,1549750,40996115,3838544,1549749,1549954,1549394,40665262,1549393,4540299,1549353
FEXJ8YsAAAAJ;Christian  Hjort;1552369,10.2307/1551679,3547654,10.2307/3543487
hSiGHrsAAAAJ;SILVANA APARECIDA PIRES DE GODOY;42871440
STnNuEYAAAAJ;Sherri L. Johnson;10.2307/2389090,10.2307/2388265,41413963,10.2307/2680196,41319684
stYkUpsAAAAJ;Jimi Naoki Nakajima;23727982
XrEUZjAAAAAJ;Jochen H. Bihn;20492489,25661110
fzRds1MAAAAJ;Roberta R. Fulthorpe;1469831,43491867
zqd2kZEAAAAJ;Reg  Watson;4315668,24708791,24872843,24875642,24870882
89DB5TMAAAAJ;Antoine  Guisan;40305843,23737044,43576557,3589041,40390767,30244648,25595221,4539926,30243145,41242849,23501505,25592628,3838442,3838538,3838513,3838509,40305920,4499241,3236568,3237224,3554553,827290,20143970,4499263,3838445,4540681,4540682,40926913,20050798
3VU_09kAAAAJ;Laurence B. Davin;20779839,4273072,4279276
sK2d-6YAAAAJ;Norman G. Lewis;27733256,20779839,4273072
_7uMx0AAAAAJ;Jerome J. Howard;25063694,4601901,10.2307/1938314,10.2307/1943180,25084643,25084914,4219251
GlcZhnAAAAAJ;Peter  Walter;3883258
dbH6VMsAAAAJ;Marcos R. Rossi-Santos;4536348,43290193
tHBlrSEAAAAJ;Minna  Koivula;23735737,3107895,4627093,3450035,10.2307/3677362,3547732,3547373,10.2307/3546516,3547191,3547831
yGx9TksAAAAJ;Daniel G. Brown;3235880,20050575
gmJyc_AAAAAJ;Bjarni D. Sigurdsson;40928412
A-LgTDcAAAAJ;Frank J. Rahel;3069264,10.2307/1938333,20183418,20183421,3095235,10.2307/1937450,4220429,4219385,4218536
xA1_dNQAAAAJ;Rachel  Gaulton;41058165
lXHV-pAAAAAJ;Jason  Munshi-South;25511685,43187704,20172060,25145038
WWGYXKcAAAAJ;Claire  Hughes;24708858,24873151
vICKQf0AAAAJ;Maria  Kanakidou;24708858
VonLO3sAAAAJ;Purvaja  Ramachandran;24708858
EG2sFGIAAAAJ;Purvaja  Ramachandran;24708858
IeLOVaQAAAAJ;Urumu  Tsunogai;24708858,40802287,23469150
unb1YH8AAAAJ;Mitsuo  Uematsu;24708858
Yx5hx44AAAAJ;Tong  Zhu;24036876,4280496,4282071,23382204,4279555,4281164,4281490,4281830,4629936,41942810,4281135,23391036,40537804,40065612,41942854,4280849,4280703,40065621
Krd1k78AAAAJ;Tong  Zhu;24708858
1V6FksQAAAAJ;Chengchao  Wang;41417249
SBIgDjUAAAAJ;Yaoqi  Zhang;41417249,29738768
ZA9N5lEAAAAJ;Dean G. McCurdy;25063787,40206214,10.2307/3676950,4094139,3547025,10.2307/3546970
olMaJi0AAAAJ;Daryl P. Holland;41410561
3gOTNWkAAAAJ;Beat Wechsler;4534732,4534708
_KkYNpIAAAAJ;Steven W. Kembel;40982864,20069159,20528840,3599522,4096709,newphytologist.193.3.673,24034408,41499801
23PgnnIAAAAJ;Dana M. Hawley;4099127,41319573
IfJBsd0AAAAJ;Theis  Kragh;40343751
MYPgvK0AAAAJ;Alf  Ekblad;41490466,10.2307/2404220,10.2307/2261296,4223756,23434385,24120909,42946635
w-He9hEAAAAJ;Jorgelina  Marino;41510603,41058180
hEaxjtEAAAAJ;Claudio  Sillero-Zubiri;41510603,4601211,41058180,10.2307/1382361,10.2307/1383093,10.2307/3504136
OtqXc1YAAAAJ;David W. Macdonald;41510603,40295531,41739320,41739617,3449307,43493912,23225238,23488361,41480325,827275,3554505,40996138,4094369,4498749,20869947,27755146,41318987,23259963,10.2307/5288,10.2307/4855,23259823,40835753,23012361,20143313,4498756,40958966,20144036,4220034,40309753,40309866,4220483
91OaV-QAAAAJ;Meredith  Blackwell;41315634,41761626,10.2307/3761835,10.2307/3793235,20444773,10.2307/3761657,10.2307/3759878,10.2307/3761653,10.2307/3759428,10.2307/3759580,10.2307/3793393,20444906,10.2307/3759975,10.2307/3760925,10.2307/3760674,10.2307/3793239,10.2307/3759332,20445004,3762207,10.2307/3758224,10.2307/3762109,10.2307/3758978,43924136,10.2307/3760716,10.2307/3807773,10.2307/3758977,10.2307/3759427,10.2307/3793247,4250809,10.2307/3759772,10.2307/3761905,23267535,10.2307/3761995,10.2307/3761931,10.2307/3761537,20444789,10.2307/3761761,10.2307/3759659,10.2307/3759996,10.2307/3761153,10.2307/3761220
Oth1oNMAAAAJ;Søren  Molin;4314077
5fFWDj4AAAAJ;Staffan  Kjelleberg;4314077,20446033,24814576
MghN_-YAAAAJ;Anne E. Goodenough;23737111,41489240
2sE_eh8AAAAJ;Richard  Stafford;3683709,24871862
R-Gyat8AAAAJ;Danesh  Tarapore;20640559
a5MoXOYAAAAJ;Dario  Floreano;20640559
QzikbMgAAAAJ;Jonathon C. Marshall;30034115
kA4CmSYAAAAJ;Katri  Aarnio;24851903
fv2ZK5kAAAAJ;Arne  Janssen;4601069,27651427,20143229,10.2307/6024,10.2307/5258,3505683,41487934,40606591,40210585,40606647,40309569,4223699,4223220,4221592,3547599,10.2307/3545959,20062262,4223319
ma-JLz4AAAAJ;Richard  Karban;2097095,3069275,10.2307/1939829,3682935,10.2307/2266130,10.2307/2266033,23597263,10.2307/2680067,10.2307/1939499,10.2307/3071936,10.2307/1939144,10.2307/1938949,41739286,10.2307/2269416,10.2307/1939496,3450358,10.2307/1939495,27650783,4032678,10.2307/1940928,3450386,10.2307/176629,10.2307/1942101,27650712,41239225,10.2307/1941371,25084415,10.2307/5195,25009293,25084639,25085907,3548190,24033546,4216403,20445991,4223246,4222385,4217090,4221015,41500019,4219929,4220150,10.2307/3565508,10.2307/3565522,23434827,40210844,4217955,10.2307/3544765,4216530,4221346,20062536,3547450,10.2307/3545022,10.2307/3545118
GExtZaUAAAAJ;Judith H. Myers;2097095,30033776,3682819,10.2307/1934411,10.2307/1937367,10.2307/176606,10.2307/1942435,10.2307/2407341,10.2307/176884,10.2307/1934155,10.2307/2407203,10.2307/2402332,10.2307/4028,27696410,10.2307/4071,10.2307/2402774,10.2307/4104,40540375,10.2307/3545240,40212932,10.2307/3565313,4217367,4221062,10.2307/3565772,10.2307/3565690,41499977,4216489,4217281
rgjEuEwAAAAJ;Roberto  Kiesling;23727975,23228363
_qRLuzEAAAAJ;Sergio A. Navarrete;bullecosociamer.89.2.143,10.2307/176904,23144023,20068958,10.2307/2937163,3683428,10.2307/177113,43494734,27651676,3591023,10.2307/2963488,3061495,10.2307/5894,10.2307/5949,1549390,24872724,24832629,24871766,24868025,24865365,24872074,3548182,24869986,24871421
7WSbyAgAAAAJ;Anastasios  Xepapadeas;4315719
1hOIGYkAAAAJ;Paula J. Fedorka-Cray;1593442
9QvYdroAAAAJ;Thomas J. Campanella;42954844
p690yTIAAAAJ;Harry H. Marshall;41414720
ZhM7P6YAAAAJ; Robert G. Björk ;4139114
QsN1DhwAAAAJ;Joshua T. Ackerman;25063264,40601099,3547835,23259726
JH2zKvYAAAAJ;Elizabeth S. Dennis;43576206,24038553,4278649,4277505,23387344,20205702,23389830,40065228,41435338,4277174,4280239,43191093,40066031,25704939,40538002,4278597,23384281,20206053,4275957,4281209,4356510
J60lrkoAAAAJ;Kristell  Hergoualc''h;40343607
V8LL-QcAAAAJ;Olle Karlsson;4315667
8i3cqdUAAAAJ; Mart Jüssi ;4315667
jGZYZm8AAAAJ;Urszula  Norton;40343636,41505959,40005683,24128484
SNeFaHQAAAAJ;A. Joshua Leffler;40343636,43494344,3450658,3068792,3068662,40005685,4223509,23434648,4222312,4223745
2JXw7EAAAAAJ;Michael  Peek;40343636
GpPHIZ8AAAAJ;Jon  Slate;30245175,40306266,25150787,27743428,23463792,3061551
dwF-hccAAAAJ;Akira  Kagawa;43578052
ot7zVB4AAAAJ;Ken  Norris;4535738,4600794,2405304,23017148,10.2307/5360,10.2307/2405289,827317,10.2307/5226,27696358,3505771,2647375,3838459
eHitMMIAAAAJ;Ann G. Matthysse;2473604,4281126,4270467,23374009,4281415
bQ8o3uQAAAAJ;Monika  Janišová;23727796
L4arwc8AAAAJ;Richard  Hrivnák;23727796,25133939,40305428
ZuG5CxwAAAAJ;Markus J. Peterson;40419636,3591366,3682902,3591066
pZ75iEEAAAAJ;Kavita  Isvaran;25063531,27751622,23260131,40213093
SXffsI4AAAAJ;Amir  Sagi;3883902,4536050,3884478,10.2307/1548603
Z7edricAAAAJ;Bruce S. Rubidge;2678648,4524573,4524220,4524472,4095109,4524635,20627127
MECxVgQAAAAJ;Christian A. Sidor;2678648,2680337,4524573,4524220,20490949,4524788,4095109,30126309,30126342,4524533,4524603,4524023,4524682,20490992,4094766,20490970,4096976
IQB550oAAAAJ;William  Armstrong;43575961,3558443,43575966,4181413,4181424,4268019
dj80s84AAAAJ;Martine  Lizotte;23359715,20519882,24872631
pPyurmUAAAAJ;Michel  Gosselin;23359715,24855930,24867932,24862761,24864778,24857521,24874049,24871475,24871854,24873446,24874000,24816997,24865393,24857226,24857196,24855138,24871879,24853357,24854573,24871968
KgBM9m8AAAAJ;Richard B. Rivkin;23359715,3883456,24844598,24867135,24872631
xg13nZkAAAAJ;Zhiyun  Ouyang;25547831,41417278,40061669,27797836,2641959,40061894,3877725,20183509,27809088,20870201,41508697,25256220,40666615
zhz7b70AAAAJ;Peter  Deadman;25547831
eB_hInEAAAAJ;Timothy  Kratz;25547831
lzefJbIAAAAJ;Shem Wandiga;4315451
wB2FcUcAAAAJ;Petri  Ahlroth;23735951,40540170
-sr6iHQAAAAJ;Andrea  Monaco;23737037
S5EEHxAAAAAJ;Yazdan  Keivany;4536217,10.2307/1447559,4098598
DWEM3XkAAAAJ;Fabrizio  Adani;20519802,20456435
nuHRcjMAAAAJ;Peter  Stiling;20167850,10.2307/1940228,23225191,10.2307/176806,10.2307/1941566,10.2307/2410404,10.2307/2265693,3589114,10.2307/2265714,10.2307/177152,10.2307/177308,3450429,40793287,10.1086/650202,10.2307/4926,4222305,4221866,10.2307/3565870,4223413,4219803,4221428,10.2307/3546896,20062179,20062135
lzbz6qYAAAAJ;María C. Rodríguez-Rodríguez;41315631,41922990,24033482
vMemrEEAAAAJ;Alfredo  Valido;3893181,40305894,1565880,10.2307/2845566,24033482,40309831,10.2307/3545778
mEa0hxwAAAAJ;Juliette  Young;25547810
-haN0rgAAAAJ;Lubos  Halada;25547810
AJbk-A4AAAAJ;Susan  Harrison;23735886,2097309,4543464,2641436,10.2307/2266110,2386833,2673330,27646025,3450217,41739627,10.2307/176980,3099907,43495196,20068990,10.2307/3061135,25680467,10.2307/5965,2647330,3072265,10.2307/5518,4222444,41495810,10.2307/3545439,24124054,10.2307/3546867,4217955,4223737,4222890,4221042,10.2307/3565613,4220727,4220889
nNoExW8AAAAJ;Bo Terning Hansen;40599616,40962485,27823497
pZNjgtUAAAAJ;Gautam  Sarath;24030256,41262794,4276042,4270187,4277745,23389359,23388665,4275202,23390173,40538034,4275642,4280597,4281390,4280291,4277525,4275760,4278543
fNU0CjgAAAAJ;Jerome  Buhl;41414018,40295308
a9R1BVAAAAAJ;Stephen J. Simpson;41414018,3683619,10.2307/3071809,25660986,41240758,27696383,3657131,41499751,3548272
XyUGWpsAAAAJ;Danielle  Celentano;41241883
aeZ3yC4AAAAJ;Rakan A. Zahawi;41241883,43443162,43443222,43443212,25623145,25172981,24033427
