NTGTBWIAAAAJ;Fabio  Bozzeda;44234986
PDHcfFwAAAAJ;Ilan  Vertinsky;10.2307/3537,10.2307/3717
GeQN4f4AAAAJ;Pedro C. Avila;4295466
GOjybYoAAAAJ;Joseph J. Kieber;23695595,41496311,41942863,4274537,4280303,4279213,20779793,4278651,20205883,4281812,4279581,41942859,25680870,23274698,40065412,4281279
f1oq2LYAAAAJ;Simon J. Lane;1566059,1555792,40060526
W6B495IAAAAJ;Erich  Eder;3701451,1549587
NTsu2OIAAAAJ;Michele  Cesari;3701451,4540240,3701510
y-J_isgAAAAJ;Yoko  Mitani;24868608,24867898,24866597
82WFyhsAAAAJ;Kagari  Aoki;24872066
KVs62tYAAAAJ;Donatas  Pupienis;43291001,43752436,43290946
H68VYDUAAAAJ;Douglas J. Long;4523417,4298282,1305937
4LpY5t0AAAAJ;Jennifer Ann Harikrishna;24596334
IknpgD4AAAAJ;Norzulaani  Khalid;24596334
5dPrtFoAAAAJ;Yangdong  Pan;20491208,10.2307/1467800,1468112,4095681,1468324
UROhmvwAAAAJ;Gregg B. Walker;24707591
9hy94PQAAAAJ;Megha Shenoy;4092053
I_0nShIAAAAJ;Flemming  Ekelund;10.2307/2404938,40310205
Q4BkMRAAAAAJ;Fernando P. Lima;40996113,40602943,3838492
Sut6nc0AAAAJ;Ioannis  Politis;20172169,20172168
CcAccLsAAAAJ;Ian L. Turner;4299333,25736211,4494236,43752583,43291038,4300264,4299332,4298589,4299462
RcE9gY0AAAAJ;Kazuaki Hori;4299503
RVyDFeIAAAAJ;Henning  Redestig;24039070,40065235
HqAnPOkAAAAJ;Sarah  Zohdy;41310235
XX_vDycAAAAJ;Srikantha  Herath;43289901
An7Q4J0AAAAJ;Joana  Santana;40405880
2bc7XhMAAAAJ;João  Valsecchi;40405880
lutI5EsAAAAJ;Helder Lima de Queiroz;40405880
Wl6HUfEAAAAJ;Emilio A. Herrera;23488593,23259781,10.2307/1382209,10.2307/1382634,10.2307/4855,10.2307/1565277,10.2307/1382561,2559868
hqkZPtoAAAAJ;Emilio A. Herrera;23488593,23259781,10.2307/1382209,10.2307/1382634,10.2307/4855,10.2307/1565277,10.2307/1382561,2559868
pk0CYUsAAAAJ;Eric J. Sargis;23488610,23488483
7paelwUAAAAJ;George R. Priest;25736192,25736601
sSSKypYAAAAJ;Mustafa Ozen;4294929
PeYgNc8AAAAJ;Karen  Miller;24874282
sxEgmEsAAAAJ;Julia  Allwood;25654286
tipcvEQAAAAJ;Dianne  Gleeson;25654286,24060678,24060825,24060834
0HwP_D8AAAAJ;Savel  Daniels;25654286
JecNUpoAAAAJ;Satu  Ramula;20144074,25623085,4619767,3548648,40235432,3548764,23500373
n6ynVJEAAAAJ;Angel  Cabrera;10.2307/1374181,10.2307/1373274,10.2307/1373806
zlLr5yAAAAAJ;Timothy J. Page;3566210,20491126
VY-RwmsAAAAJ;Glenn Davis Stone;4603279
F9ldDloAAAAJ;Christopher V. Maio;41332046
YrT3rxkAAAAJ;Natalia Norden;4496004
_cExHtwAAAAJ; Christophe Thébaud ;4496004
mLg0zoUAAAAJ;Laureline  Meynier;40961877
Rr2tOyMAAAAJ;B. Louise Chilvers;40961877,27755183,23259845,24873072,24060830,24060613
Ybsp_gMAAAAJ;Koji  Mikami;23696188
HFZ0m0wAAAAJ;Nguyen Thi Phuong Lien;25010417
0zO1gVgAAAAJ;John  Rybczyk;3599693
93-FIXsAAAAJ;Elizabeth  Yohannes;40309747,41500006
8LE9PBgAAAAJ;Thomas  Litt;3697589
-Sx9cEgAAAAJ;Tom  Schils;3554598,24866559
Tqv70AkAAAAJ;Laurel  Symes;41759695
O_rfzu8AAAAJ;Aart Kroon;4297686
u4tiF7AAAAAJ;Piet Hoekstra;4297686
3GNKOaEAAAAJ;Regine  Kahmann;25680648
PcsO5IoAAAAJ;Alejandro  Brazeiro;40925515,24852125
