zyFpeHgAAAAJ;Andrew  Sluyter;3985855,3985209
mkW6OUsAAAAJ;Shane M. Hanlon;24637163
heJXBikAAAAJ;Rick  Relyea;24637163
56Sv2_gAAAAJ;Milos  Tanurdzic;23787137
sRLEjqcAAAAJ;Marius  Bottin;10.1086/675726
unNgg4EAAAAJ;Francisco  Suárez;4221101,20146728
TA_v89cAAAAJ;Michael E. Dillon;3884976,30157982
gwnRcC8AAAAJ;Tony J. Pitcher;10.2307/3060912,20440815,24871991,24871990,24870882
9efZbvgAAAAJ;Qiang  He;43493746,41739260,23012746,41499907
lXHOmKQAAAAJ;Rebecca J. Rowe;30243266,23035007,41242797,40205732,3566284
DRqM0WoAAAAJ;Enrique  Doster;23597199
p3Hs6UoAAAAJ;Jason M. Gleditsch;41058174,23435977
SitbIv8AAAAJ;Joseph C. Makarewicz;10.2307/1942575
azHnMBgAAAAJ;Karel  Janko;24032777,30134282,41239449,23262063
ciRYBp0AAAAJ;James H. Speer;10.2307/2680188,3554641
R6PJehMAAAAJ;Jana S. Petermann;25661067,24033486
O-ufWZ8AAAAJ;Alexander  Wacker;41319616,4223593,41487329,20062339
m9KWG_EAAAAJ;Eric  von Elert;3546402,40309829,4223593,40864694,20062339
ek0cFWMAAAAJ;Rafael  Marcé;40296348,41505946
vCH-Y2kAAAAJ;Enrique  Moreno-Ostos;40296348
ekaf6H8AAAAJ;Aki  Mäki-Petäys;41239298,41416630,40061805
kSiqJlEAAAAJ;Federico  Prado;30140735
OhlusqQAAAAJ;Benjamin  Kerr;30140735,25483602
wSUq_LcAAAAJ;Chris  Kennedy;23047554
hUWfaL0AAAAJ;Astrid  Schnetzer;24866216
UAYCYvQAAAAJ;Stephen D. Gregory;25680468
iAhuJssAAAAJ;Borja  Milá;4134848,20143339,25562636,4223675
khn2SpgAAAAJ;Gabrielle  Kardon;10.2307/2410921
qqu5btYAAAAJ;Jeffrey P. Copeland;25592862,41417100,1383637
P1zgT5MAAAAJ;Robert M. Inman;25592862,23259959
gu-DVNIAAAAJ;Nathalie  Pettorelli;3450074,40602956,40835564,3236932,3505513,4539199,4223021,40210522,4223772,41499946,3548722,40309715,40235241
PWj5nfAAAAAJ;Inger  Skrede;25150794
BV7f1fUAAAAJ;Amanda T. Lombard;3879243,3589052
7LhXFZoAAAAJ;Amanda I. Banet;40963467
fpOnCe0AAAAJ;David C. Schneider;3658878,10.2307/1380370,10.2307/3545670,10.2307/3545631,24824983
NfbBjykAAAAJ;William C. Dennison;4300023,4268599,24853215,24857075,24855931
nsV318oAAAAJ;Kyrre  Lekve;3100079,10.2307/3071987,3099947,20062331,24852046
n6A2i8oAAAAJ;Michael M. Fuller;3683257,40062180
bs2wF4oAAAAJ;Joshua A. Banta;40305562,27759762
6zoyOd8AAAAJ;Alex  Wong;40863350,23463860
LwmuFG0AAAAJ;Jeanne  Nel;20183412
HRM3QeAAAAAJ;Bob  Pressey;20183412
aZuE9qYAAAAJ;Malin L. Pinsky;40863342
-hnSElkAAAAJ;Marta  Montserrat;27651427,20143229,41487934,40210585,40210574
DfY2a9QAAAAJ;Wouter Vanreusel;4124657
TDHGmr0AAAAJ;Jerrold L. Belant;10.2307/1521758,40061962,20065869,27744594,41315938
rNd9nisAAAAJ;Robert  Black;10.2307/1934815,10.2307/2408642,4134812,10.2307/2844658,10.2307/4169,10.2307/2844624,4215066,4215477
l1todgIAAAAJ;Richard  Cordaux;41317049
_PFmKmUAAAAJ;Shauna M Uselman;29546161
vgI8yhwAAAAJ;Patricia L. Kennedy;40061873,10.2307/1939298,10.2307/4003790,4223503
ZbDJZs8AAAAJ;Pablo  García-Palacios;41505914,41059104,42953445,24369097
I7WPj70AAAAJ;Santiago  Soliveres;41505914,40731835,24369099
3m8FuuMAAAAJ;Charles  Mullon;23328281
x-5yrq4AAAAJ;Ricardo Serrão Santos;10.2307/1446963,24873696
gLW69DEAAAAJ;Travis J. Ryan;1448104,4124653,10.2307/1447861,1448350,10.2307/1565473,10.2307/1566035,10.2307/1565917,27744599,40005576,25177069
1m50zJwAAAAJ;Rees  Kassen;41317028,2640849
9yTB3gYAAAAJ;John  Larsen;25133977,25562633
y3M1bCAAAAAJ;Sabine  Ravnskov;25133977
RTw3mRQAAAAJ;Parris T. Humphrey;40863339
jehPfXwAAAAJ;Jean-Paul  Chavas;3658661
tZhb3gUAAAAJ;Xia  Wang;24033642
fM7mS7cAAAAJ;Masahito  Ueyama;23596890
Qw1L18EAAAAJ;Donatella  Zona;23596890
tvuQ7HsAAAAJ;Karin  Isler;41460055
9QfzFkUAAAAJ;Zhijian  Tu;27743472
qXhTiewAAAAJ;Christopher C. Witt;30243227
hRt2jyIAAAAJ;Andrea  Anton;23021643
16XiyukAAAAJ;Okan  Ozaydin;20111456
zkbRs2QAAAAJ;James W. Cain III;41972104,3504447
d3DLtmsAAAAJ;Nathalie  Fenner;20869981
fcmazLEAAAAJ;Niall  McNamara;27770623
7GSfVQEAAAAJ;Christopher  Freeman;20869981
gvR3C30AAAAJ;Natalie  Cooper;23229896,30137884
nwhHaL4AAAAJ;Viorel D. Popescu;23273248
IIdDZRAAAAAJ;Thomas A. Okey;4134798,10.2307/3868426,24875218
q5RnyrkAAAAJ;Derek  Karssenberg;23501470
CKcp3TYAAAAJ;Peter S. Harlow;10.2307/1447433,10.2307/2266095,4098688,4126532,10.2307/1446845,10.2307/2265914,1448006,3893081,10.2307/1565722,10.2307/1565264,10.2307/1565173
ZFQvaskAAAAJ;Elise  Ketoja;41417118,42951162,24366800,42950924
gDgAYBoAAAAJ;William E. Peterman;23273266,43287393,27744599
n6YnfNUAAAAJ;Lori S. Eggert;23273266,23488368
JRjv9p0AAAAJ;Pavel  Drozd;30134282,4222858
IwTpbPAAAAAJ;Jaroslav  Flegr;30134282
889P3QIAAAAJ;LUIGI  PELLIZZONI;30301936
Rdgp9TMAAAAJ;Itamar  Giladi;25592776,3548714
f-XhiukAAAAJ;Young-Seon  Lee;25592776
VDL34McAAAAJ;Michel  Laurin;10.2307/2411316,4523501,4523372,4523551,4524331,4523476,4133801,4523764,4523954,4524569,4524181,4523695,4524694,4523730,4096912
nRKKfXAAAAAJ;Fernando Augusto Tambelini Tizianel;23064486
lh1klEYAAAAJ;Rogério Rodrigues Faria;23064486
0etVpv4AAAAJ;Roberto Macedo Gamarra;23064486
d944uJAAAAAJ;Allan L. Carroll;30244585,30243127,10.2307/1941602,10.2307/2404242,4220249,4223648
PTsSicoAAAAJ;Kerstin  Stahl;30244585
koShfiIAAAAJ;Stephen W. Taylor;30244585,30243127
i0T9UOsAAAAJ;Susana  Clusella-Trullas;25592745,10.1086/682010
hHkLU9IAAAAJ;Robert D. Moore;10.2307/1940687,10.2307/3546073
O8OIaIUAAAAJ;Sunil  Kumar;20461749
EGZOlFcAAAAJ;Sarah A. Spaulding;25595196
p2zMU-kAAAAJ;Travis S. Schmidt;25595196,23213923
YN9Ggv8AAAAJ;Gediminas  Brazaitis;20113309
gvQ0sNAAAAAJ;Robert C. Corry;43441151
uGmaJv4AAAAJ;Robert D. Brown;43441151
vw8zotgAAAAJ;Natasha  Kenny;43441151
