K2oAEEkAAAAJ;Michele R. Dudash;30033813,2445923,2445328,3298647,27733447,2445917,30034121,3558422,10.2307/1940820,25592724,10.2307/1940600,20069269,10.2307/2680202,3450239,10.2307/2411002,10.2307/2266024,41413947
qZp-itAAAAAJ;Mark O. Johnston;30033813,4354362,27733447,10.2307/2411038,10.2307/2410261,10.2307/1941123,4134838,10.2307/2409893,43494973,3450239,10.2307/176740,10.2307/3546608
Y4Sjd-IAAAAJ;Randall J. Mitchell;30033813,2445692,4122770,20168454,27733447,27793144,2446553,43576231,43576228,4126119,2445911,10.2307/3072063,10.2307/2410115,3450573,2387434,10.2307/2409892,10.2307/1940769,10.2307/2411219,10.2307/2411195,3450670,3450239,10.2307/1940252,2475097,2648531,4219323,40864700,4223054,41508773,4221535,4221579
lLk9M0cAAAAJ;Tia-Lynn  Ashman;30033813,41922345,2446349,27733447,4125554,2445492,40407695,40205555,10.2307/3071932,10.2307/1940672,4627021,3450920,10.2307/2410036,10.2307/177476,10.2307/1940599,4627006,10.2307/2410299,20069291,3450239,3884807,3547146,24034396,4220506,41499902
1y6sAesAAAAJ;Ken  Yasukawa;4599762,4600454,10.2307/3677226
pcVSoCYAAAAJ;Marcos  Méndez;3558352,27733263,3558353,27857370,27733496,27733421,41419472,3450851,20143578,2475279,23673189,4223730,40960911,10.2307/3546574,40235274
td7prrAAAAAJ;Kevin  Bishop;40928387,40390254,40390252,41417354,40390255,40730881,40390253,1469457,23325686,41505919,42939862
aVB4HmYAAAAJ;Gary  Burness;25063416,27715237,PBZ10049
k_iWCZgAAAAJ;Robert  Montgomerie;25063416,4601854,4600535,40295406,4600623,4602227,4600654,4601639,4600997,25063353,25063436,4600855,4600780,4601503,4601116,27784009,10.2307/2410526,10.2307/2411167,25680454,3677665,10.2307/3677066,10.2307/3677097,3677471,10.2307/3565349,10.2307/3676410
sw9_vN4AAAAJ;Joseph  Arditti;2441560,2473711,4353735,2441119,2442470,2441176,2474823,2440396,2442577,2473731,2474604,2442760,2444641,2474313,2442211,2474342,2441686,2473961,2442063,2440847,2474259,4270487,23380165,4267248
abPyq8sAAAAJ;Gregory M. Plunkett;2446032,2446219,2445700,3298514,10.2307/2399846,10.2307/2666225,4122775,2446255,30219398,2656619,4033834,43491923
voEI4HIAAAAJ;Robert K. Vander Meer;4599437,4601506,25063527,4602027,4599305,10.2307/2409138
ZYdwUNIAAAAJ;Timothy G. Laman;10.2307/2389066,10.2307/2265832,2560254,4221342
uyn3U18AAAAJ;Pekka  Helle;23736796,23734194,23736007,23737023,23737153,23734179,23735657,23736127,23734601,23737059,23735956,3683017,2647418,30244748,23434624,10.2307/3565386,10.2307/3545592,10.2307/3566007,41499861,10.2307/3546014,4222005
ZI-M1d8AAAAJ;Ari  Nikula;23736796,23735708,4315726,1552640,23735798,3683252,3589126,30244600,30243218,2641921,2647418,4539140,3548271,10.2307/3546014
tEgr6yMAAAAJ;Amotz  Zahavi;4534171,4599900,4534016,4536139,10.2307/3677251,10.2307/3677205
lgbYAFEAAAAJ;David B. Lellinger;10.2307/1547537,10.2307/1546017,10.2307/1545937,1547616,10.2307/1547579,10.2307/1547325,10.2307/1547551,10.2307/1547360,10.2307/1546553,1547788,10.2307/1547130,10.2307/1546050,10.2307/1547598,10.2307/1547643,1547747,10.2307/1546484,10.2307/1546175,10.2307/1546209,10.2307/1546230,10.2307/1546041,10.2307/1545950,10.2307/1546734,10.2307/1547497,10.2307/1546179,10.2307/1547012,10.2307/1547550,10.2307/1545968,10.2307/1546287,10.2307/1546870,10.2307/1546763,1547653,10.2307/1546640,10.2307/1545954,10.2307/1546296,4032555
zwSlbVwAAAAJ;Daniel H. Janzen;10.2307/2989661,10.2307/2387821,10.2307/2387746,10.2307/2387789,10.2307/2387687,10.2307/2387805,10.2307/2989668,10.2307/2399468,10.2307/2395296,20165822,20166246,10.2307/2989823,20166304,40863780,2096998,10.2307/2989630,10.2307/2388135,10.2307/2989677,2442748,2096937,10.2307/2387861,2096871,10.2307/2388172,20166334,2096784,10.2307/2388030,10.2307/2388184,10.2307/2989669,10.2307/2989768,2441978,10.2307/2388218,10.2307/2388538,4533241,10.2307/2663974,10.2307/1934304,10.2307/1441202,10.2307/1933802,10.2307/1934315,10.2307/1934677,10.2307/1941242,10.2307/2406478,10.2307/1933414,10.2307/1936229,10.2307/1935359,10.2307/1936197,10.2307/1934092,10.2307/1940441,10.2307/2406628,10.2307/2408229,10.2307/1937726,10.2307/1937717,10.2307/1933565,10.2307/2406621,2559719,25082404,10.2307/1378496,25083764,25083720,25084548,10.2307/3134,2559336,25083568,10.2307/3544274,10.2307/3544443,10.2307/3544100,10.2307/3544014
aQ5LCM0AAAAJ;Frederick J. Wrona;4315756,4315754,4315760,4315759,4315753,4315755,4315752,4315758,4315757,4315751,10.1086/678700,10.2307/1467223,10.2307/1467366,4219520
yAbalkgAAAAJ;Pierre  Jaisson;4533634,25063711,4535394,25063832
wgoJRZ8AAAAJ;Heidrun  Huber;43575970,41315644,27733389,43519481,3879565,3884992,20050758,20050460,4222126,20445838,4221633,20779847
AIbeGPIAAAAJ;Guillermo R. Barreto;41827125,2559868,3504346
3V9g5sYAAAAJ;John  Terborgh;10.2307/2388523,30043145,4599781,2389131,27650681,3589071,10.2307/1939641,3591000,10.2307/2265630,10.2307/2406973,3061442,10.2307/177247,10.2307/1934735,10.2307/1933691,10.2307/1943045,10.2307/1935491,10.2307/1939177,2641785,41811829,10.2307/2266143,43494980,10.2307/1936921,23027657,4092022,3068736,2560020,3068819,2559953,4499080,10.2307/5822,40929257,2560041,2560241,40212988,4260853,4261213,10.2307/40157559
3iXzXZkAAAAJ;James W. Hardin;2805165
D4eQhKcAAAAJ;Patricia Y. Hester;10.2307/1592026
t07iyOAAAAAJ;Samuel S. Sweet;3882696,10.2307/1444041,10.2307/1445201,3891954,3891618,3892428,10.2307/1564420
FjCWOq4AAAAJ;Richard G. Olmstead;10.2307/2399768,2443776,10.2307/2399876,2445975,20788742,4122774,41149433,10.2307/2399773,10.2307/2399846,4126092,27733530,20788743,10.2307/2399858,2656749,27793049,2445903,10.2307/2399855,10.2307/2666224,2446338,10.2307/2399772,4122195,27733507,2445483,4125519,4123856,2657024,10.2307/2666216,4124069,3448862,10.2307/2409524,10.2307/2409731,41761757,3079963,41425570
3bE8PLYAAAAJ;Patricia G. Parker;4534054,4601165,4601717,20799569,20492502,10.2307/2411135,10.2307/1447248,41827120,2386920,4512577,20460332,4485872,20460358,20096377,10.2307/1382930,10.2307/40166716,10.2307/40166719
FzV9-mMAAAAJ;Georgia  Destouni;40801586,24708984,41417291,4315725,1469888,41417398
HSGiPEAAAAAJ;Nancy G. Caine;10.2307/2388709
keXSJUoAAAAJ;Marco  Tschapka;25790841,25145176,4499112
ePKfVPQAAAAJ;Robert H. Richmond;3883717,24842215,24816965
BN0KAb0AAAAJ;Eli  Geffen;41414597,4601317,40295358,4601738,41414556,25063760,40295156,2386854,2647340,20870204,10.2307/1564052,10.2307/1383305,30137826,10.2307/1382074,10.2307/5616,3677775,3892351,10.2307/1382402,4220034,10.2307/3504271,20445904
zjP6gQIAAAAJ;Amiyaal  Ilany;41414597,25511770
i18-8cIAAAAJ;Yoram  Yom-Tov;41414597,40928403,4533783,4601738,41417245,4535797,40295156,10.2307/1934768,2999799,10.2307/1933987,10.2307/1521958,2647340,10.2307/3378,10.2307/1381317,3505496,30137826,10.2307/3502,2656236,3677775,3677647,10.2307/3545896,10.2307/3565430,10.2307/3676886,2400744,10.2307/3676268,10.2307/3544863,23674318,3548561,10.2307/3504254,4217620,4216221,20445904,10.2307/3676463,40210623,3504300,40210892
fDi9vcIAAAAJ;Adit  Naor;41414597
GfvWEywAAAAJ;Jeffrey M. Welker;40980875,10.2307/1552389,41490437,10.2307/1551761,40296268,23253687,23775640,20062206,40864599,40213014
