10.2307/3534041|*Gophers|D046348|3825|MH|RtM via: Gophers;Forced Leaf Node Lookup:pocket gophers;checkForceMH Boosted|TI|MM|553^13^0
10.2307/3534041|*Diet|D004032|3249|MH|RtM via: Basal Diet;RtM via: Diet;Forced Non-Leaf Node Lookup:diet|TI|MM;RC|442^4^0;327^4^0;178^4^0;72^7^0;204^4^0
10.2307/3534041|*Seasons|D012621|3057|MH|RtM via: Summer;RtM via: Winter|TI|MM;RC|541^6^0;423^6^0;197^6^0;435^6^0;171^6^0
10.2307/3534041|*Drug Implants|D004343|78|MH|RtM via: Oral Pellet;RtM via: Pellet Dosage Form Category|TI|MM|28^7^0
10.2307/3535044|Animals|D000818|49555|CT|Charadriiformes;CT Treecode Lookup: B01.050.150.900.248 (Charadriiformes);Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds);Columbidae;CT Treecode Lookup: B01.050.150.900.248 (Columbidae)||MM;RC
10.2307/3535044|*Columbidae|D010856|8528|MH|Forced Leaf Node Lookup:pigeons;checkForceMH Boosted|TI|MM|826^6^0
10.2307/3535044|Alaska|D000413|4267|MH|RtM via: Alaska;Forced Leaf Node Lookup:alaska|TI|MM|135^6^0
10.2307/3535044|*Charadriiformes|D046091|48555|MH|RtM via: Fratercula corniculata;RtM via: Uria aalge;RtM via: Cepphus columba;RtM via: Uria lomvia|TI|MM;RC|882^22^0;866^14^0;573^12^0;587^10^0;845^15^0;826^17^0;697^19^0
10.2307/3535044|*Islands|D062312|6216|MH|RtM via: Islands|TI|MM;RC|127^6^0
10.2307/3534879|Animals|D000818|20074|CT|Anseriformes;CT Treecode Lookup: B01.050.150.900.248 (Anseriformes);Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds);Animals, Wild;CT Treecode Lookup: B01.050.050 (Animals, Wild);Ducks;CT Treecode Lookup: B01.050.150.900.248 (Ducks)||MM;RC
10.2307/3534879|*Animals, Wild|D000835|7629|MH|RtM via: Animals, Wild;Forced Leaf Node Lookup:wildlife;checkForceMH Boosted|TI|MM|381^3^0;121^8^0
10.2307/3534879|*Rivers|D045483|5145|MH|RtM via: Rivers;Forced Leaf Node Lookup:rivers|TI|MM|922^5^0;518^5^0
10.2307/3534879|Oregon|D009922|5040|MH|RtM via: Oregon (geographic location);Forced Leaf Node Lookup:oregon|TI|MM;RC|794^6^0;144^6^0
10.2307/3534879|Alaska|D000413|4032|MH|RtM via: Alaska;Forced Leaf Node Lookup:alaska|TI|MM;RC|897^6^0
10.2307/3534879|Idaho|D007061|3759|MH|RtM via: Idaho (geographic location);Forced Leaf Node Lookup:idaho|TI|MM;RC|814^5^0;647^5^0
10.2307/3534879|Northwest Territories|D015873|3342|MH|RtM via: Northwest Territories;Forced Leaf Node Lookup:northwest territories|TI|MM|935^21^0
10.2307/3534879|British Columbia|D001955|3177|MH|RtM via: British Columbia;Forced Leaf Node Lookup:british columbia|TI|MM|743^16^0
10.2307/3534879|Alberta|D000416|3165|MH|RtM via: Alberta province;Forced Leaf Node Lookup:alberta|TI|MM|683^7^0
10.2307/3534879|Montana|D009009|3021|MH|RtM via: Montana (geographic location);Forced Leaf Node Lookup:montana|TI|MM|662^7^0
10.2307/3534879|*Dye|D004396|2988|ET|Entry Term Replacement for "Coloring Agents";RtM via: Dyes;checkForceMH Boosted|TI|MM|821^4^0;584^4^0;265^4^0;221^4^0
10.2307/3534879|*Anseriformes|D046090|19074|MH|RtM via: Genus Cygnus;Forced Non-Leaf Node Lookup:swan|TI|MM;RC|589^5^0;270^5^0;862^4^0
10.2307/3534879|*Birds|D001717|10584|MH|RtM via: Aves;Forced Non-Leaf Node Lookup:birds|TI|MM;RC|826^5^0
10.2307/3534879|*Seasons|D012621|6801|MH|RtM via: Autumn;RtM via: spring (season);RtM via: Winter|TI|MM;RC|343^4^0;158^4^0;703^6^0;616^6^0;175^6^0;476^9^0
10.2307/3534879|*Ducks|D004372|2505|MH|RtM via: Cygnus columbianus|TI|MM|855^11^0;57^18^0;43^12^0
10.2307/3534879|Tundra|D065929|1000|MH|Forced Non-Leaf Node Lookup:tundras||MM|43^6^0;855^6^0
10.2307/3534879|California|D002140|672|MH|RtM via: California|TI|MM|548^10^0;417^10^0
10.2307/3535473|Animals|D000818|40114|CT|Charadriiformes;CT Treecode Lookup: B01.050.150.900.248 (Charadriiformes);Parakeet;CT Treecode Lookup: B01.050.150.900.248 (Parakeet);Clethrionomys;CT Treecode Lookup: B01.050.150.900.649.313.992 (Clethrionomys);Psittacula;CT Treecode Lookup: B01.050.150.900.248 (Psittacula);Predatory Behavior;CT Treecode Lookup: F01.145.113.111 (Predatory Behavior);Predatory Behavior;CT Treecode Lookup: F01.145.113.252 (Predatory Behavior);Melopsittacus;CT Treecode Lookup: B01.050.150.900.248 (Melopsittacus);CT Text Lookup: psittacula|TI|MM;RC|88^10^0
10.2307/3535473|*Parakeet|D010240|8154|ET|Entry Term Replacement for "Parakeets";RtM via: Parakeets;checkForceMH Boosted;Forced Non-Leaf Node Lookup:parakeets|TI|MM|63^8^0;304^8^0
10.2307/3535473|*Clethrionomys|D003411|5604|ET|Entry Term Replacement for "Arvicolinae";RtM via: Genus Clethrionomys;RtM via: Microtus;checkForceMH Boosted;Forced Non-Leaf Node Lookup:clethrionomys|TI|MM|281^13^0;785^4^0;747^5^0;411^5^0;265^8^0;258^5^0;842^4^0
10.2307/3535473|*Psittacula|D046409|5490|MH|Forced Leaf Node Lookup:psittacula;checkForceMH Boosted|TI|MM|88^10^0
10.2307/3535473|*Predatory Behavior|D011235|4758|MH|RtM via: Predatory Behavior;Forced Leaf Node Lookup:predation|TI|MM|858^9^0;422^9^0;245^9^0
10.2307/3535473|*Mastication|D008409|3075|MH|RtM via: Chewing;Forced Leaf Node Lookup:chewing|TI|MM|736^7^0
10.2307/3535473|*Charadriiformes|D046091|39114|MH|RtM via: Aethia cristatella;RtM via: Aethia psittacula;RtM via: Aethia pusilla;RtM via: Auklet|TI|MM;RC|586^14^0;439^14^0;110^18^0;304^15^0;73^25^0;668^12^0;507^12^0;790^6^0;698^7^0;154^7^0
10.2307/3535473|*Melopsittacus|D046408|4047|MH|RtM via: Melopsittacus undulatus|TI|MM|63^8^0
10.2307/3535473|*Islands|D062312|2241|MH|RtM via: Islands|TI|MM|178^6^0
10.2307/3535473|*Ecology|D004463|1917|MH|RtM via: Ecology|TI|MM|52^7^0
10.2307/3533826|Animals|D000818|13219|CT|Falconiformes;CT Treecode Lookup: B01.050.150.900.248 (Falconiformes);Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds)||MM;RC
10.2307/3533826|*Rivers|D045483|9332|MH|RtM via: Rivers;Forced Leaf Node Lookup:rivers|TI|MM;RC|815^5^0;359^5^0;171^5^0
10.2307/3533826|*Lakes|D060106|4502|MH|RtM via: Lake (environment);Forced Leaf Node Lookup:lake|TI|MM|780^4^0;463^4^0;212^4^0;839^4^0
10.2307/3533826|*Falconiformes|D046093|12219|MH|RtM via: Pandion;RtM via: Pandion haliaetus|TI|MM;RC|752^7^0;705^6^0;32^6^0
10.2307/3533826|*Birds|D001717|9618|MH|RtM via: Aves;Forced Non-Leaf Node Lookup:birds|TI|MM;RC|890^5^0
10.2307/3533826|*Data Collection|D003625|561|MH|RtM via: Data Collection;Forced Non-Leaf Node Lookup:data collection|TI|MM|131^15^0
10.2307/3535689|Animals|D000818|29553|CT|RtM via: Rattus;RtM via: Rattus norvegicus;Foxes;CT Treecode Lookup: B01.050.150.900.649.313.750 (Foxes);Predatory Behavior;CT Treecode Lookup: F01.145.113.111 (Predatory Behavior);Predatory Behavior;CT Treecode Lookup: F01.145.113.252 (Predatory Behavior);Isopoda;CT Treecode Lookup: B01.050.500.131 (Isopoda);Sea Lions;CT Treecode Lookup: B01.050.150.900.649.313.750 (Sea Lions);Amphipoda;CT Treecode Lookup: B01.050.500.131 (Amphipoda);Fishes;CT Treecode Lookup: B01.050.150.900.493 (Fishes);Invertebrates;CT Treecode Lookup: B01.050.500 (Invertebrates);Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds);CT Text Lookup: fish|TI|MM;RC|602^4^0;455^4^0;404^4^0
10.2307/3535689|Rats|D051381|29553|CT|RtM via: Rattus;RtM via: Rattus norvegicus;Forced Non-Leaf Node Lookup:rats|TI|MM|602^4^0;455^4^0
10.2307/3535689|*Foxes|D005589|28553|MH|RtM via: Foxes;RtM via: Vulpes lagopus;RtM via: Alopex;Forced Leaf Node Lookup:arctic fox;Forced Leaf Node Lookup:alopex;Forced Leaf Node Lookup:foxes;checkForceMH Boosted|TI|MM;RC|890^5^0;59^14^0;47^10^0
10.2307/3535689|*Predatory Behavior|D011235|20558|MH|RtM via: Predatory Behavior;Forced Leaf Node Lookup:predation|TI|MM;RC|951^9^0
10.2307/3535689|*Islands|D062312|10973|MH|RtM via: Islands;Forced Leaf Node Lookup:islands|TI|MM;RC|142^6^0;105^7^0
10.2307/3535689|*Isopoda|D033321|9958|MH|RtM via: Isopoda;Forced Leaf Node Lookup:isopods;checkForceMH Boosted|TI|MM|593^7^0
10.2307/3535689|*Sea Lions|D046070|9442|MH|RtM via: Sea Lion;Forced Leaf Node Lookup:sea lions;checkForceMH Boosted|TI|MM;RC|359^8^0
10.2307/3535689|*Amphipoda|D033304|9196|MH|RtM via: Amphipoda;Forced Leaf Node Lookup:amphipods;checkForceMH Boosted|TI|MM|484^9^0;385^9^0
10.2307/3535689|Alaska|D000413|7366|MH|RtM via: Alaska;RtM via: Aleutian Islands;Forced Leaf Node Lookup:aleutian islands;Forced Leaf Node Lookup:alaska|TI|MM;RC|168^6^0;150^16^0
10.2307/3535689|*Fishes|D005399|7158|MH|RtM via: Fishes|TI|MM;RC|612^4^0;404^4^0
10.2307/3535689|*Invertebrates|D007448|4755|MH|RtM via: Invertebrates;Forced Non-Leaf Node Lookup:invertebrates|TI|MM|429^13^0
10.2307/3535689|*Seasons|D012621|4080|MH|RtM via: Summer;RtM via: spring (season);RtM via: Winter|TI|MM|1009^6^0;998^6^0;904^6^0
10.2307/3535689|*Insects|D007313|2235|ET|Entry Term Replacement for "Insecta";RtM via: Insecta;Forced Non-Leaf Node Lookup:insects|TI|MM|584^7^0;332^7^0
10.2307/3535689|*Diets|D004032|2064|ET|Entry Term Replacement for "Diet";RtM via: Diet;Forced Non-Leaf Node Lookup:diets|TI|MM;RC|770^5^0
