4ecqaFgAAAAJ;Michael  Wolosin;40062089
yqiIwXQAAAAJ;Sergio  Estrada-Villegas;23213512
lp1SsH8AAAAJ;Catherine  Jarnevich;20069350
wa4ZPOUAAAAJ;Betty  Benrey;4627105,40925456
aVFnsi4AAAAJ;Penny  Johnes;41479984
5jB498UAAAAJ;Ido  Tsurim;25661039,1383978,30244428,3677679,40213224
me5jZI4AAAAJ;Priscila  Camelier;40863265
_znjs3wAAAAJ;Bruno  Lasserre;40296413
kMCddFQAAAAJ;Roberto  Tognetti;40296413,42953083,24125206
cnZVQ6oAAAAJ;Aaron D. Peacock;3450029,25153308
uCc4NDEAAAAJ;Damaris  Zurell;20696283
eDWLBjYAAAAJ;Carlos A. Anaya;41505996,40210578
f0zJFuIAAAAJ;Nikolay  Strigul;27646153
JqU5GQYAAAAJ;Denis  Pristinski;27646153
EC48n00AAAAJ;Drew  Purves;27646153,40732012
gBsUGUgAAAAJ;Roland  Knapp;25053847
9TZMMQgAAAAJ;Alfonso Peter Castro;10.2307/3983495,4602996
51p2J3kAAAAJ;Ivana  Živić;20107783
KOolahcAAAAJ;Carly J. Randall;24321932
9wj6kEcAAAAJ;Melanie A. Sutton;24321932,23254558
lkPkQZYAAAAJ;Jennifer S. Briggs;27651031,1383893
6wJ8BtAAAAAJ;François  Michonneau;23463778,24873951
e28gV8AAAAAJ;Miles J. McKenna;23463778
uB39sHUAAAAJ;Rudolf P. Rohr;newphytologist.194.3.859
9QbFeXYAAAAJ;Lauren E Koenig;43187675
NzJxPfoAAAAJ;Nadir Alvarez;4627105
JUoTMdAAAAAJ;Gwendal Restoux;4627105
mizb7RgAAAAJ;Laura L. Carruth;1448239,3884924
Y0RFvTicQi0C;Amy C. Hirons;44113159
kSU2iZwAAAAJ;Toomas  Esperk;20142751,40540149
GMVPK7AAAAAJ;Michal  Segoli;23597211
KR5Cz5kAAAAJ;Sally  Entrekin;23034467
ECsKTFkAAAAJ;Sally  Entrekin;23034467
2zw0BioAAAAJ;Brent  Johnson;23034467
FhFuEywAAAAJ;Cristina  Banks-Leite;41739614,20869993
ebaMxOoAAAAJ;Ana I. Bento;43495227
ci-oVxgAAAAJ;Gabriela  Gleiser;25150778
n_9wtE8AAAAJ;Raul  Valdez;10.2307/2407410,10.2307/3898305,10.2307/4003791,10.2307/1380940,10.2307/1379451,10.2307/1382940,10.2307/4004033,10.2307/4003995,10.2307/1378465
ybvWH6AAAAAJ;Sean M Watts;23470500
F2IKz5kAAAAJ;Douglas J Levey;23470500
Kkzn_6MAAAAJ;Clyde F. Herreid;30152838
yRaGNjsAAAAJ;William P. Kemp;25085615,10.2307/4003040,25085812,25086368,10.2307/3503466,4220493
8_R0N_0AAAAJ;Arie  van der Meijden;25150798
0D8yozoAAAAJ;Wolf Bernhard Dickoré;10.2307/3776769
u1EOGhYAAAAJ;Jelena H. Pantel;27650781
nmrrBPsAAAAJ;Juan  Reppucci;23259793
hA2IaXkAAAAJ;Sergi  Valverde;24033830
3FyYS10AAAAJ;Bob E. Hall;43442522
5rJOSLgAAAAJ;Vesna  Gagic;41416647
wjArwEsAAAAJ;Hugh AL Henry;23470550
dntZUyIAAAAJ;Cameron N Carlyle;23470550
9kuENvkAAAAJ;Lauren L. Sullivan;23034881
bcHe9WUAAAAJ;J. Amy Belaire;24432299
wCJYUvEAAAAJ;Steven D. Warren;10.2307/1940451,10.2307/4002668,42951929
OpYBIQ0AAAAJ;Ian  Barnes;29782968
MaVPgCAAAAAJ;Mark G. Thomas;29782968
-nh8PbgAAAAJ;David A. Sonnenfeld;10.2307/3984948
vJVi6JsAAAAJ;Vincent  Berthon;23597124
5K_Dd_AAAAAJ;Fabien  Arnaud;23597124
Tt9_KS4AAAAJ;Pierre  Sabatier;23597124
1n5PGiEAAAAJ;Devin  Arbuthnott;23262058
QajtftEAAAAJ;Ian D. Buller;41151169
l70tt04AAAAJ;Ricardo  Guiñez;24874459
qNNrOy4AAAAJ;Stephanie  Gervasi;23596837
p4eKY_8AAAAJ;Gissell  Lacerot;25622869
LaoRj5EAAAAJ;James D. Lowe;2641872,2693417
aaABYLIAAAAJ;Megan C. Evans;41242789
bhudhhwAAAAJ;María del Socorro García-Madrigal;20107426
FJlcF2oAAAAJ;Kate S. He;41242785
OJtw7agAAAAJ;Duccio  Rocchini;41242785,40800787,3697525
5MHoJhcAAAAJ;Markus  Neteler;41242785
_F5k-6wAAAAJ;Seong-il  Eyun;25150894
qM_a54cAAAAJ;Richard J. Butler;41460052,4524686,4524509,20627119,25609421
NahDNgYAAAAJ;Brian  Andres;41460052,20627160
78m3KVAAAAAJ;Eric  Ward;4276785,4277858,4275875
g3Eep-MAAAAJ;Mary I. O''Connor;27696422
9i84jfcAAAAJ;Yasel U. Alfonso;24635711
kIasKyUAAAAJ;Ivan  Prates;25622944
opiLejAAAAAJ;Zoë L Hutchison;43187656
JwmCsoUAAAAJ;Michael T Burrows;43187656
5G-CyeoAAAAJ;Kim S Last;43187656
LD0KeSMAAAAJ;Marc  Ventura;40407725,24870732,24125653
OchsYJkAAAAJ;Paul Henning Krogh;40407725,24125653
l4t4nn4AAAAJ;Ilaria Bonini;4201276
QlxawIIAAAAJ;Lauri  Saks;3598994,3505528,4223507
JJcx3_UAAAAJ;Kevin  McGraw;3598994
jTnE2aoAAAAJ;Luisa G. Carvalheiro;25661148
CI9n-2AAAAAJ;Graham C. Smith;40800775
