0UnWSKUAAAAJ;Lizanne  Janssens;10.1086/682571
o-gl3ycAAAAJ;Tomasz  Wójtowicz;23787092
tVyyvQIAAAAJ;Tomasz  Wójtowicz;23787092
_8Hzxf0AAAAJ;Moshe  Kiflawi;3450448,25592600,27651345,24873730,3548546,40005649
XEVsUyEAAAAJ;Mauricio R. Bellon;4256249,4255617,4603207,4603018,27654117,4281620
BlMxl-wAAAAJ;Melinda  Smale;4256249
ynvf9qgAAAAJ;Guillaume Martin;4134805,4095393
3dVyIWQAAAAJ;Brian R. Wasik;23463852
mKUeEicAAAAJ;Hsiu-Ping  Liu;10.2307/2410870,4640528,23375564
Qa9RTuoAAAAJ;James  Ott;10.2307/1940101
MugdmooAAAAJ;Christopher H. Chandler;23327705,25512217
Iium3AEAAAAJ;Ian  Dworkin;23463830,23327705,3449172,27743444,24575307
kuRBjX8AAAAJ;Ashok  Swain;20742960
irxElIcAAAAJ;Andrea  Pieroni;4256207,4256554
wmWYM34AAAAJ;Frances S. Chew;10.2307/2407522,4216179,40213277
sTGalj0AAAAJ;Jianwei  Zhang;43288621
0yTGUzgAAAAJ;William C. Wetzel;43493915
QpM7FjoAAAAJ;Greg A. Breed;24875641,24874541,24867752
2sqJrgMAAAAJ;Reade B. Roberts;27784020
IhXoUhkAAAAJ;Jeffrey J. Hard;20183446,4620914,10.2307/3545195
dffK1DQAAAAJ;Jan  Schnitzler;10.1086/674430
Q8pkoBAAAAAJ;David A. Cleveland;4603282,27654124
tsFWgVgAAAAJ;Nick  Clemann;24432180,1565790
eku-lCwAAAAJ;Yair  Achituv;20105292,20101802,24853411,24844576,24867610
G7ej18gAAAAJ;Kazuhide  Nara;3450594,23055170
RFRua_AAAAAJ;Wen-Hsiung  Li;4281838,40537645,23274685
eIDGmBcAAAAJ;Jonathan B. Armstrong;43677534,25661194,23597328
KSeMXXsAAAAJ;Gordon W. Holtgrieve;27651226,20062538
XhiGsl4AAAAJ;William  Mitchell;10.2307/1940541
oJ1fYxUAAAAJ;J. Terrence McCabe;10.2307/3983498,40603025,40343988,4602953,4602855
