,fullname
9692,Samuel V. Scarpino
9698,William N. McAnulty
9701,M. Van Appledorn
9703,Lucian M. Sprague
9704,James R. Holloway
9712,J. Bryan Kemper
9713,Don S. Eastman
9720,Elon. Howard Eaton
9722,August  Weissmann
9741,Richard  Ambrose
9742,Gail  Baker
9743,Ann  Rappaport
9745,Stephen  Macevicz
9757,Martin Bulla
9758,Miroslav Šálek
9767,Minnie Marie Enteman
9782,James C. Vanden Berge
9786,Charles F. Cox
9798,Jerome J. Gambino
9799,Donald  Heyneman
9800,Walter B. Barrows
9828,Gaspar  Bruner
9829,Ernesto B. Gomez
9835,Francis H. Herrick
9861,American Ornithologists' Union Committee for the Conservation of the Red-Cockaded Woodpecker
9863,B. M. Wasserman
9864,W. R. Davis
9869,Fernandus  Payne
9870,Martha  Denny
9901,Clarence Bloomfield Moore
9903,K. R. Bapna
9905,B. L. Chaudhary
9918,Jonathan  Dwight
9942,Alison L. Collins
9965,Margit  Feißel
9966,James E. Horning
9999,Theodore C. Kramer
10010,Thomas K. Christensen
10034,Casey P.  terHorst
10035,I.  Lancaster
10037,Arnaud  Le Rouzic
10060,Sebastian J.  Schreiber
10061,Evan  Saltzman
10078,Klaus Abegg
10100,Eric. F. Karlin
10101,Graeme P. Gardner
10102,Katelyn  Lukshis
10145,C. E. Hulsebosch
10146,G. D. Bittner
10147,J. A. Brassard
10148,Richard  Bernard
10153,Lisa M.  Meffert
10154,Sara K.  Hicks
10155,Jennifer L.  Regan
10161,Th. Just
10186,Timiji  Asakawa
10187,Harold James Cook
10193,Sarah A. Knutie
10199,J. C. Hartzell Jr.
10216,M. A. Lessler
10222,Oscar F. Schaefer
10225,Ignacio  Rodriguez‐Iturbe
10238,Elizabeth G.  King
10245,Caroline  Boyce
10293,James C. O’Hanlon
10296,P. F. Swindle
10297,Rose A. Kriz
10308,Vicencio  Oostra
10309,Ana Rita A. Mateus
10310,Karin R. L. van der Burg
10311,Thomas  Piessens
10312,Marleen  van Eijk
10314,Patrícia  Beldade
10323,Isaac F. Arnow
10345,John C. Branner
10389,John S. Scott
10399,E. D. Downer
10412,W. C. Morgan Jr.
10417,Stephen P. De Lisle
10422,E. L. RULISON
10423,L.  LUISELLI
10424,R. L. BURKE
10425,E. J. Chansler
10428,Bernt‐Erik  Sæther
10452,Mario Ramos O
10503,Jennifer L. Moore
10523,Yoshihiro  Haraguchi
10544,Fannie P. Hardy
10588,Kent M. Van De Graaff
10620,Francis  Dercum
10638,James A. Hancock
10660,Henry O. Havemeyer
10678,Erin E. Dukeshire
10680,Stefan H. Gutow
10735,Richard M. Scott
10737,Annette  Van Der Schalie
10822,John M. Dane
10833,Erminnie A. Smith
10842,Susan M. Rice
10857,Howard  Crawley
10891,Daphna  Weinshall
10892,Ilan  Eshel
10895,W. Walter Watts
10918,JEAN-MICHEL  DEVINK
10919,ROBERT G. CLARK
10920,STUART M. SLATTERY
10921,DAVID L. TRAUGER
10934,Alaina L. Berger
10959,C. J. Volk
10960,T. J. Beechie
10962,G. R. Pess
10963,R. L. Edmonds
10967,Bradford  Torrey
11017,Maurice K. James
11020,V. O. King
11091,Joseph D. Conroy
11096,Joseph P. Hegmann
11127,W. G.  Wilson
11128,L. D.  Harder
11152,Stevan J.  Arnold
11161,Cliff  Frohlich
11206,J. K. Jensen
11208,Sara J. Sampieri
11212,J. L. Wilding
11214,J. M. Gosline
11215,G.  Holdsworth
11221,Theo. B. Comstock
11222,Florence Wells Slater
11224,Robert D.  Holt
11227,J. V.  Greenman
11228,T. G.  Benton
11252,William F.  Morris
